index;count
2021-05-24;20
2021-05-25;20
2021-05-26;81
2021-05-27;121
2021-05-28;121
2021-05-29;121
2021-05-30;121
2021-05-31;121
2021-06-01;121
2021-06-02;121
2021-06-03;121
2021-06-04;121
2021-06-05;121
2021-06-06;121
2021-06-07;121
2021-06-08;121
2021-06-09;121
2021-06-10;121
2021-06-11;121
2021-06-12;121
2021-06-13;121
2021-06-14;121
2021-06-15;121
2021-06-16;121
2021-06-17;121
2021-06-18;121
2021-06-19;121
2021-06-20;121
2021-06-21;121
2021-06-22;155
2021-06-23;261
2021-06-24;283
2021-06-25;283
2021-06-26;324
2021-06-27;324
2021-06-28;415
2021-06-29;553
2021-06-30;640
2021-07-01;655
2021-07-02;655
2021-07-03;655
2021-07-04;655
2021-07-05;828
2021-07-06;861
2021-07-07;930
2021-07-08;965
2021-07-09;1026
2021-07-10;1026
2021-07-11;1026
2021-07-12;1046
2021-07-13;1117
