index;count
2021-05-05;10
2021-05-06;187
2021-05-07;194
2021-05-08;194
2021-05-09;194
2021-05-10;194
2021-05-11;194
2021-05-12;219
2021-05-13;238
2021-05-14;238
2021-05-15;238
2021-05-16;238
2021-05-17;245
2021-05-18;245
2021-05-19;245
2021-05-20;278
2021-05-21;278
2021-05-22;278
2021-05-23;278
2021-05-24;319
2021-05-25;347
2021-05-26;406
2021-05-27;447
2021-05-28;463
2021-05-29;463
2021-05-30;463
2021-05-31;463
2021-06-01;463
2021-06-02;463
2021-06-03;463
2021-06-04;463
2021-06-05;463
2021-06-06;463
2021-06-07;463
2021-06-08;463
2021-06-09;463
2021-06-10;463
2021-06-11;463
2021-06-12;463
2021-06-13;463
2021-06-14;463
2021-06-15;463
2021-06-16;463
2021-06-17;463
2021-06-18;463
2021-06-19;463
2021-06-20;463
2021-06-21;463
2021-06-22;463
2021-06-23;463
2021-06-24;463
2021-06-25;463
2021-06-26;463
2021-06-27;463
2021-06-28;463
2021-06-29;510
2021-06-30;515
2021-07-01;515
2021-07-02;515
2021-07-03;515
2021-07-04;515
2021-07-05;515
2021-07-06;515
2021-07-07;539
2021-07-08;543
2021-07-09;561
2021-07-10;561
2021-07-11;561
2021-07-12;614
2021-07-13;812
2021-07-14;812
2021-07-15;858
2021-07-16;881
2021-07-17;881
2021-07-18;881
2021-07-19;899
2021-07-20;919
2021-07-21;968
