Dose Aplicada;Data;Quantidade
1ªDose;2021-01-02;1
1ªDose;2021-01-21;1
1ªDose;2021-01-22;2
1ªDose;2021-01-25;9
1ªDose;2021-01-26;6
1ªDose;2021-01-27;1
1ªDose;2021-01-28;10
1ªDose;2021-02-01;30
1ªDose;2021-02-02;34
1ªDose;2021-02-03;17
1ªDose;2021-02-04;2
1ªDose;2021-02-05;3
1ªDose;2021-02-06;12
1ªDose;2021-02-08;5
1ªDose;2021-02-09;13
1ªDose;2021-02-10;9
1ªDose;2021-02-11;114
1ªDose;2021-02-12;124
1ªDose;2021-02-15;38
1ªDose;2021-02-16;93
1ªDose;2021-02-17;46
1ªDose;2021-02-18;57
1ªDose;2021-02-19;3
1ªDose;2021-02-22;8
1ªDose;2021-02-23;49
1ªDose;2021-02-24;30
1ªDose;2021-02-25;6
1ªDose;2021-02-26;42
1ªDose;2021-03-01;3
1ªDose;2021-03-02;24
1ªDose;2021-03-03;11
1ªDose;2021-03-04;32
1ªDose;2021-03-05;219
1ªDose;2021-03-08;15
1ªDose;2021-03-09;22
1ªDose;2021-03-10;188
1ªDose;2021-03-11;149
1ªDose;2021-03-12;152
1ªDose;2021-03-13;1
1ªDose;2021-03-15;69
1ªDose;2021-03-16;31
1ªDose;2021-03-17;190
1ªDose;2021-03-18;257
1ªDose;2021-03-19;76
1ªDose;2021-03-21;1
1ªDose;2021-03-22;204
1ªDose;2021-03-23;505
1ªDose;2021-03-24;492
1ªDose;2021-03-25;224
1ªDose;2021-03-26;9
1ªDose;2021-03-29;331
1ªDose;2021-03-30;336
1ªDose;2021-03-31;291
1ªDose;2021-04-01;128
1ªDose;2021-04-02;1
1ªDose;2021-04-05;249
1ªDose;2021-04-06;52
1ªDose;2021-04-07;115
1ªDose;2021-04-08;106
1ªDose;2021-04-09;114
1ªDose;2021-04-12;62
1ªDose;2021-04-13;89
1ªDose;2021-04-14;70
1ªDose;2021-04-15;15
1ªDose;2021-04-16;48
1ªDose;2021-04-19;50
1ªDose;2021-04-20;13
1ªDose;2021-04-21;4
1ªDose;2021-04-22;92
1ªDose;2021-04-23;6
1ªDose;2021-04-24;95
1ªDose;2021-04-26;36
1ªDose;2021-04-27;57
1ªDose;2021-04-28;13
1ªDose;2021-04-29;12
1ªDose;2021-04-30;1
2ªDose;2021-01-23;1
2ªDose;2021-02-03;1
2ªDose;2021-02-08;1
2ªDose;2021-02-10;23
2ªDose;2021-02-11;108
2ªDose;2021-02-12;118
2ªDose;2021-02-15;103
2ªDose;2021-02-16;167
2ªDose;2021-02-17;185
2ªDose;2021-02-18;183
2ªDose;2021-02-19;70
2ªDose;2021-02-22;87
2ªDose;2021-02-23;59
2ªDose;2021-02-24;18
2ªDose;2021-02-25;15
2ªDose;2021-02-26;7
2ªDose;2021-02-27;9
2ªDose;2021-03-01;6
2ªDose;2021-03-02;12
2ªDose;2021-03-03;23
2ªDose;2021-03-04;69
2ªDose;2021-03-05;125
2ªDose;2021-03-07;1
2ªDose;2021-03-08;26
2ªDose;2021-03-09;76
2ªDose;2021-03-10;84
2ªDose;2021-03-11;31
2ªDose;2021-03-12;37
2ªDose;2021-03-13;4
2ªDose;2021-03-15;10
2ªDose;2021-03-16;71
2ªDose;2021-03-17;12
2ªDose;2021-03-18;8
2ªDose;2021-03-19;28
2ªDose;2021-03-22;26
2ªDose;2021-03-23;14
2ªDose;2021-03-24;21
2ªDose;2021-03-25;45
2ªDose;2021-03-29;186
2ªDose;2021-03-30;102
2ªDose;2021-03-31;166
2ªDose;2021-04-01;92
2ªDose;2021-04-05;115
2ªDose;2021-04-06;38
2ªDose;2021-04-07;157
2ªDose;2021-04-08;167
2ªDose;2021-04-09;116
2ªDose;2021-04-12;152
2ªDose;2021-04-13;441
2ªDose;2021-04-14;300
2ªDose;2021-04-15;85
2ªDose;2021-04-16;40
2ªDose;2021-04-18;15
2ªDose;2021-04-19;204
2ªDose;2021-04-20;464
2ªDose;2021-04-21;135
2ªDose;2021-04-22;193
2ªDose;2021-04-23;91
2ªDose;2021-04-24;20
2ªDose;2021-04-26;179
2ªDose;2021-04-27;117
2ªDose;2021-04-28;157
2ªDose;2021-04-29;262
2ªDose;2021-04-30;100
