Dose Aplicada;Data;Quantidade
1ªDose;2021-02-02;21
1ªDose;2021-02-03;11
1ªDose;2021-02-04;10
1ªDose;2021-02-08;19
1ªDose;2021-02-09;19
1ªDose;2021-02-10;29
1ªDose;2021-02-11;20
1ªDose;2021-02-12;10
1ªDose;2021-03-01;30
1ªDose;2021-03-02;49
1ªDose;2021-03-03;10
1ªDose;2021-03-04;19
1ªDose;2021-03-05;26
1ªDose;2021-03-08;8
1ªDose;2021-03-09;9
1ªDose;2021-03-10;50
1ªDose;2021-03-11;9
1ªDose;2021-03-12;49
1ªDose;2021-03-15;24
1ªDose;2021-03-26;27
1ªDose;2021-03-28;1
1ªDose;2021-03-29;54
1ªDose;2021-03-30;71
1ªDose;2021-03-31;142
1ªDose;2021-04-01;159
1ªDose;2021-04-05;69
1ªDose;2021-04-06;63
1ªDose;2021-04-07;90
1ªDose;2021-04-08;20
1ªDose;2021-04-09;151
1ªDose;2021-04-12;78
1ªDose;2021-04-13;2
1ªDose;2021-04-16;71
1ªDose;2021-04-19;2
1ªDose;2021-04-20;41
1ªDose;2021-04-21;243
1ªDose;2021-04-23;123
1ªDose;2021-04-26;68
1ªDose;2021-04-27;92
1ªDose;2021-04-28;24
1ªDose;2021-04-29;73
2ªDose;2021-04-27;1
