Dose Aplicada;Data;Quantidade
1ªDose;2021-02-10;10
1ªDose;2021-02-11;20
1ªDose;2021-02-15;10
1ªDose;2021-02-16;9
1ªDose;2021-03-03;21
1ªDose;2021-03-04;1
1ªDose;2021-03-09;1
1ªDose;2021-03-10;10
1ªDose;2021-03-11;28
1ªDose;2021-03-17;41
1ªDose;2021-03-22;63
1ªDose;2021-03-23;20
1ªDose;2021-03-24;10
1ªDose;2021-03-25;9
1ªDose;2021-03-26;9
1ªDose;2021-03-27;69
1ªDose;2021-03-29;25
1ªDose;2021-03-30;21
1ªDose;2021-03-31;14
1ªDose;2021-04-07;1
1ªDose;2021-04-08;77
1ªDose;2021-04-09;9
1ªDose;2021-04-12;2
1ªDose;2021-04-13;1
1ªDose;2021-04-14;19
1ªDose;2021-04-15;1
1ªDose;2021-04-16;11
1ªDose;2021-04-19;6
1ªDose;2021-04-21;2
2ªDose;2021-02-08;1
2ªDose;2021-02-09;4
2ªDose;2021-02-10;9
2ªDose;2021-02-11;6
2ªDose;2021-02-12;4
2ªDose;2021-02-15;7
2ªDose;2021-02-16;11
2ªDose;2021-02-18;1
2ªDose;2021-02-19;1
2ªDose;2021-03-02;10
2ªDose;2021-03-04;19
2ªDose;2021-03-08;10
2ªDose;2021-03-09;8
2ªDose;2021-03-19;1
2ªDose;2021-03-23;23
2ªDose;2021-03-26;1
2ªDose;2021-03-29;2
2ªDose;2021-03-30;8
2ªDose;2021-03-31;28
2ªDose;2021-04-06;21
2ªDose;2021-04-07;19
2ªDose;2021-04-12;74
2ªDose;2021-04-13;19
2ªDose;2021-04-15;9
2ªDose;2021-04-16;73
2ªDose;2021-04-19;29
2ªDose;2021-04-20;10
2ªDose;2021-04-21;9
2ªDose;2021-04-26;10
2ªDose;2021-04-28;79
2ªDose;2021-04-30;9
