Dose Aplicada;Data;Quantidade
1ªDose;2021-01-27;2
1ªDose;2021-02-15;40
1ªDose;2021-02-16;7
1ªDose;2021-02-17;6
1ªDose;2021-02-18;2
1ªDose;2021-02-19;1
1ªDose;2021-03-03;33
1ªDose;2021-03-04;8
1ªDose;2021-03-08;16
1ªDose;2021-03-09;9
1ªDose;2021-03-10;32
1ªDose;2021-03-11;35
1ªDose;2021-03-15;8
1ªDose;2021-03-16;2
1ªDose;2021-03-22;42
1ªDose;2021-03-23;10
1ªDose;2021-03-24;9
1ªDose;2021-03-29;86
1ªDose;2021-03-30;34
1ªDose;2021-03-31;29
1ªDose;2021-04-01;25
1ªDose;2021-04-06;156
1ªDose;2021-04-07;9
1ªDose;2021-04-10;340
1ªDose;2021-04-12;10
1ªDose;2021-04-13;210
1ªDose;2021-04-14;145
1ªDose;2021-04-15;19
1ªDose;2021-04-20;50
1ªDose;2021-04-21;19
1ªDose;2021-04-22;32
1ªDose;2021-04-25;4
1ªDose;2021-04-26;17
1ªDose;2021-04-27;21
1ªDose;2021-04-28;14
1ªDose;2021-04-29;194
1ªDose;2021-04-30;38
2ªDose;2021-02-10;15
2ªDose;2021-02-11;5
2ªDose;2021-02-15;13
2ªDose;2021-02-16;31
2ªDose;2021-02-17;1
2ªDose;2021-03-15;9
2ªDose;2021-03-16;28
2ªDose;2021-03-17;9
2ªDose;2021-03-22;2
2ªDose;2021-03-23;10
2ªDose;2021-03-29;37
2ªDose;2021-03-30;13
2ªDose;2021-04-01;11
2ªDose;2021-04-10;50
2ªDose;2021-04-12;8
2ªDose;2021-04-14;19
2ªDose;2021-04-15;24
2ªDose;2021-04-20;68
2ªDose;2021-04-21;26
2ªDose;2021-04-22;1
2ªDose;2021-04-24;20
2ªDose;2021-04-26;245
2ªDose;2021-04-27;54
2ªDose;2021-04-28;1
2ªDose;2021-04-29;40
