Dose Aplicada;Data;Quantidade
1ªDose;2021-02-01;18
1ªDose;2021-02-02;37
1ªDose;2021-02-03;50
1ªDose;2021-02-05;27
1ªDose;2021-02-08;9
1ªDose;2021-02-11;10
1ªDose;2021-03-09;78
1ªDose;2021-03-10;67
1ªDose;2021-03-11;37
1ªDose;2021-03-12;19
1ªDose;2021-03-15;27
1ªDose;2021-03-16;10
1ªDose;2021-03-25;1
1ªDose;2021-03-29;33
1ªDose;2021-03-30;308
1ªDose;2021-03-31;273
1ªDose;2021-04-01;249
1ªDose;2021-04-03;101
1ªDose;2021-04-05;148
1ªDose;2021-04-06;133
1ªDose;2021-04-07;195
1ªDose;2021-04-08;307
1ªDose;2021-04-09;336
1ªDose;2021-04-13;313
1ªDose;2021-04-21;47
1ªDose;2021-04-22;77
1ªDose;2021-04-23;98
1ªDose;2021-04-26;108
1ªDose;2021-04-27;79
1ªDose;2021-04-28;42
1ªDose;2021-04-29;43
1ªDose;2021-04-30;48
2ªDose;2021-02-03;1
2ªDose;2021-04-09;1
2ªDose;2021-04-26;24
2ªDose;2021-04-27;25
2ªDose;2021-04-28;43
2ªDose;2021-04-29;23
