Dose Aplicada;Data;Quantidade
1ªDose;2021-02-08;18
1ªDose;2021-02-09;20
1ªDose;2021-02-10;16
1ªDose;2021-02-11;10
1ªDose;2021-02-12;36
1ªDose;2021-02-22;11
1ªDose;2021-02-23;8
1ªDose;2021-02-24;10
1ªDose;2021-03-01;16
1ªDose;2021-03-04;18
1ªDose;2021-03-05;52
1ªDose;2021-03-08;23
1ªDose;2021-03-09;48
1ªDose;2021-03-10;25
1ªDose;2021-03-11;16
1ªDose;2021-03-15;7
1ªDose;2021-03-16;27
1ªDose;2021-03-17;18
1ªDose;2021-03-18;34
1ªDose;2021-03-19;16
1ªDose;2021-04-07;43
1ªDose;2021-04-08;73
1ªDose;2021-04-12;24
1ªDose;2021-04-13;19
1ªDose;2021-04-15;36
1ªDose;2021-04-19;53
1ªDose;2021-04-20;71
1ªDose;2021-04-21;11
1ªDose;2021-04-22;31
1ªDose;2021-04-23;12
1ªDose;2021-04-24;56
1ªDose;2021-04-26;19
1ªDose;2021-04-27;16
1ªDose;2021-04-28;136
1ªDose;2021-04-29;138
