index;count
2021-05-04;9
2021-05-05;38
2021-05-06;58
2021-05-07;118
2021-05-08;118
2021-05-09;118
2021-05-10;118
2021-05-11;151
2021-05-12;203
2021-05-13;255
2021-05-14;284
2021-05-15;284
2021-05-16;284
2021-05-17;286
2021-05-18;291
2021-05-19;305
2021-05-20;328
2021-05-21;340
2021-05-22;340
2021-05-23;340
2021-05-24;350
2021-05-25;350
2021-05-26;350
2021-05-27;359
2021-05-28;362
2021-05-29;362
2021-05-30;362
2021-05-31;371
2021-06-01;645
2021-06-02;652
2021-06-03;652
2021-06-04;671
2021-06-05;671
2021-06-06;671
2021-06-07;705
2021-06-08;743
2021-06-09;772
2021-06-10;823
2021-06-11;861
2021-06-12;861
2021-06-13;861
2021-06-14;888
2021-06-15;888
2021-06-16;888
2021-06-17;888
2021-06-18;888
2021-06-19;888
2021-06-20;888
2021-06-21;888
2021-06-22;923
2021-06-23;928
2021-06-24;928
2021-06-25;929
2021-06-26;929
2021-06-27;929
2021-06-28;984
2021-06-29;1071
2021-06-30;1163
2021-07-01;1330
2021-07-02;1419
2021-07-03;1419
2021-07-04;1419
2021-07-05;1420
2021-07-06;1430
2021-07-07;1491
2021-07-08;1581
2021-07-09;1591
2021-07-10;1591
2021-07-11;1591
2021-07-12;1595
2021-07-13;1601
2021-07-14;1601
2021-07-15;1735
2021-07-16;1864
2021-07-17;1864
2021-07-18;1864
2021-07-19;1865
2021-07-20;1942
2021-07-21;2019
2021-07-22;2122
2021-07-23;2188
