index;count
2021-05-04;12
2021-05-05;184
2021-05-06;197
2021-05-07;220
2021-05-08;221
2021-05-09;221
2021-05-10;253
2021-05-11;267
2021-05-12;331
2021-05-13;373
2021-05-14;383
2021-05-15;383
2021-05-16;383
2021-05-17;411
2021-05-18;420
2021-05-19;420
2021-05-20;458
2021-05-21;490
2021-05-22;490
2021-05-23;490
2021-05-24;512
2021-05-25;546
2021-05-26;1528
2021-05-27;1591
2021-05-28;1631
2021-05-29;1631
2021-05-30;1631
2021-05-31;1641
2021-06-01;1641
2021-06-02;1642
2021-06-03;1642
2021-06-04;1642
2021-06-05;1642
2021-06-06;1642
2021-06-07;1642
2021-06-08;1642
2021-06-09;1642
2021-06-10;1642
2021-06-11;1642
2021-06-12;1642
2021-06-13;1642
2021-06-14;1642
2021-06-15;1642
2021-06-16;1642
2021-06-17;1642
2021-06-18;1642
2021-06-19;1642
2021-06-20;1642
2021-06-21;1642
2021-06-22;1642
2021-06-23;1642
2021-06-24;1642
2021-06-25;1642
2021-06-26;1642
2021-06-27;1642
2021-06-28;1642
2021-06-29;1642
2021-06-30;1642
2021-07-01;1642
2021-07-02;1696
2021-07-03;1696
2021-07-04;1696
2021-07-05;1696
2021-07-06;1751
2021-07-07;1751
2021-07-08;1751
2021-07-09;1915
2021-07-10;1948
2021-07-11;1948
2021-07-12;1948
2021-07-13;1948
2021-07-14;3090
2021-07-15;3090
2021-07-16;3090
2021-07-17;3090
2021-07-18;3090
2021-07-19;3090
2021-07-20;3138
2021-07-21;3951
2021-07-22;3954
