index;count
2021-05-04;19
2021-05-05;28
2021-05-06;40
2021-05-07;61
2021-05-08;61
2021-05-09;61
2021-05-10;64
2021-05-11;74
2021-05-12;94
2021-05-13;158
2021-05-14;158
2021-05-15;158
2021-05-16;158
2021-05-17;158
2021-05-18;160
2021-05-19;160
2021-05-20;164
2021-05-21;184
2021-05-22;184
2021-05-23;184
2021-05-24;185
2021-05-25;188
2021-05-26;242
2021-05-27;305
2021-05-28;331
2021-05-29;331
2021-05-30;331
2021-05-31;331
2021-06-01;331
2021-06-02;331
2021-06-03;342
2021-06-04;342
2021-06-05;342
2021-06-06;342
2021-06-07;342
2021-06-08;342
2021-06-09;352
2021-06-10;352
2021-06-11;352
2021-06-12;352
2021-06-13;352
2021-06-14;352
2021-06-15;352
2021-06-16;352
2021-06-17;352
2021-06-18;352
2021-06-19;352
2021-06-20;352
2021-06-21;352
2021-06-22;352
2021-06-23;415
2021-06-24;415
2021-06-25;415
2021-06-26;415
2021-06-27;415
2021-06-28;415
2021-06-29;415
2021-06-30;437
2021-07-01;437
2021-07-02;437
2021-07-03;437
2021-07-04;437
2021-07-05;437
2021-07-06;437
2021-07-07;561
2021-07-08;566
2021-07-09;566
2021-07-10;566
2021-07-11;566
2021-07-12;566
2021-07-13;566
2021-07-14;566
2021-07-15;868
2021-07-16;905
2021-07-17;905
2021-07-18;905
2021-07-19;915
2021-07-20;920
2021-07-21;1058
2021-07-22;1084
2021-07-23;1086
