index;count
2021-05-04;1
2021-05-05;1
2021-05-06;1
2021-05-07;1
2021-05-08;1
2021-05-09;1
2021-05-10;1
2021-05-11;1
2021-05-12;1
2021-05-13;1
2021-05-14;1
2021-05-15;1
2021-05-16;1
2021-05-17;1
2021-05-18;1
2021-05-19;1
2021-05-20;1
2021-05-21;1
2021-05-22;1
2021-05-23;1
2021-05-24;1
2021-05-25;44
2021-05-26;54
2021-05-27;76
2021-05-28;76
2021-05-29;152
2021-05-30;152
2021-05-31;160
2021-06-01;160
2021-06-02;160
2021-06-03;160
2021-06-04;214
2021-06-05;214
2021-06-06;214
2021-06-07;214
2021-06-08;225
2021-06-09;225
2021-06-10;225
2021-06-11;225
2021-06-12;225
2021-06-13;225
2021-06-14;225
2021-06-15;225
2021-06-16;225
2021-06-17;225
2021-06-18;225
2021-06-19;225
2021-06-20;225
2021-06-21;225
2021-06-22;225
2021-06-23;225
2021-06-24;225
2021-06-25;225
2021-06-26;225
2021-06-27;225
2021-06-28;225
2021-06-29;225
2021-06-30;225
2021-07-01;225
2021-07-02;306
2021-07-03;306
2021-07-04;306
2021-07-05;306
2021-07-06;306
2021-07-07;306
2021-07-08;306
2021-07-09;423
2021-07-10;423
2021-07-11;423
2021-07-12;423
2021-07-13;423
2021-07-14;423
2021-07-15;433
2021-07-16;855
2021-07-17;855
2021-07-18;855
2021-07-19;866
2021-07-20;874
2021-07-21;879
2021-07-22;887
2021-07-23;888
