index;count
2021-05-04;240
2021-05-05;397
2021-05-06;630
2021-05-07;923
2021-05-08;1000
2021-05-09;1000
2021-05-10;1030
2021-05-11;1124
2021-05-12;1130
2021-05-13;1266
2021-05-14;1277
2021-05-15;1277
2021-05-16;1277
2021-05-17;1370
2021-05-18;1371
2021-05-19;1371
2021-05-20;1373
2021-05-21;1374
2021-05-22;1376
2021-05-23;1376
2021-05-24;1452
2021-05-25;1486
2021-05-26;1710
2021-05-27;1787
2021-05-28;1828
2021-05-29;1979
2021-05-30;1979
2021-05-31;1979
2021-06-01;1979
2021-06-02;1979
2021-06-03;1979
2021-06-04;1979
2021-06-05;1979
2021-06-06;1979
2021-06-07;1979
2021-06-08;1979
2021-06-09;1979
2021-06-10;1979
2021-06-11;1979
2021-06-12;1979
2021-06-13;1979
2021-06-14;1979
2021-06-15;1979
2021-06-16;1979
2021-06-17;1979
2021-06-18;1979
2021-06-19;1979
2021-06-20;1979
2021-06-21;1979
2021-06-22;2025
2021-06-23;2064
2021-06-24;2064
2021-06-25;2064
2021-06-26;2064
2021-06-27;2064
2021-06-28;2064
2021-06-29;2064
2021-06-30;2064
2021-07-01;2064
2021-07-02;2064
2021-07-03;2216
2021-07-04;2216
2021-07-05;2216
2021-07-06;2379
2021-07-07;2462
2021-07-08;2575
2021-07-09;2652
2021-07-10;2652
2021-07-11;2652
2021-07-12;2652
2021-07-13;2945
2021-07-14;3310
2021-07-15;3313
2021-07-16;3401
2021-07-17;3417
2021-07-18;3417
2021-07-19;3424
2021-07-20;3556
2021-07-21;3699
2021-07-22;3982
2021-07-23;4200
