index;count
2021-05-05;6
2021-05-06;18
2021-05-07;40
2021-05-08;40
2021-05-09;40
2021-05-10;41
2021-05-11;41
2021-05-12;54
2021-05-13;95
2021-05-14;95
2021-05-15;95
2021-05-16;95
2021-05-17;95
2021-05-18;103
2021-05-19;103
2021-05-20;129
2021-05-21;131
2021-05-22;131
2021-05-23;131
2021-05-24;132
2021-05-25;132
2021-05-26;182
2021-05-27;211
2021-05-28;211
2021-05-29;211
2021-05-30;211
2021-05-31;211
2021-06-01;220
2021-06-02;229
2021-06-03;239
2021-06-04;249
2021-06-05;249
2021-06-06;249
2021-06-07;249
2021-06-08;249
2021-06-09;249
2021-06-10;249
2021-06-11;249
2021-06-12;249
2021-06-13;249
2021-06-14;249
2021-06-15;249
2021-06-16;249
2021-06-17;249
2021-06-18;249
2021-06-19;249
2021-06-20;249
2021-06-21;249
2021-06-22;249
2021-06-23;344
2021-06-24;344
2021-06-25;344
2021-06-26;344
2021-06-27;344
2021-06-28;344
2021-06-29;344
2021-06-30;344
2021-07-01;344
2021-07-02;344
2021-07-03;344
2021-07-04;344
2021-07-05;344
2021-07-06;344
2021-07-07;344
2021-07-08;420
2021-07-09;420
2021-07-10;420
2021-07-11;420
2021-07-12;420
2021-07-13;420
2021-07-14;420
2021-07-15;420
2021-07-16;420
2021-07-17;420
2021-07-18;420
2021-07-19;642
2021-07-20;642
2021-07-21;797
2021-07-22;858
2021-07-23;873
