index;count
2021-05-04;32
2021-05-05;45
2021-05-06;46
2021-05-07;47
2021-05-08;47
2021-05-09;47
2021-05-10;47
2021-05-11;47
2021-05-12;55
2021-05-13;65
2021-05-14;65
2021-05-15;65
2021-05-16;65
2021-05-17;65
2021-05-18;97
2021-05-19;97
2021-05-20;108
2021-05-21;108
2021-05-22;108
2021-05-23;108
2021-05-24;115
2021-05-25;125
2021-05-26;125
2021-05-27;125
2021-05-28;158
2021-05-29;158
2021-05-30;158
2021-05-31;204
2021-06-01;242
2021-06-02;279
2021-06-03;279
2021-06-04;279
2021-06-05;279
2021-06-06;279
2021-06-07;279
2021-06-08;279
2021-06-09;279
2021-06-10;279
2021-06-11;279
2021-06-12;279
2021-06-13;279
2021-06-14;297
2021-06-15;297
2021-06-16;297
2021-06-17;297
2021-06-18;297
2021-06-19;297
2021-06-20;297
2021-06-21;297
2021-06-22;297
2021-06-23;321
2021-06-24;321
2021-06-25;321
2021-06-26;321
2021-06-27;321
2021-06-28;323
2021-06-29;323
2021-06-30;332
2021-07-01;332
2021-07-02;332
2021-07-03;332
2021-07-04;332
2021-07-05;332
2021-07-06;332
2021-07-07;335
