index;count
2021-05-04;29
2021-05-05;34
2021-05-06;37
2021-05-07;40
2021-05-08;40
2021-05-09;44
2021-05-10;89
2021-05-11;121
2021-05-12;127
2021-05-13;130
2021-05-14;130
2021-05-15;130
2021-05-16;130
2021-05-17;138
2021-05-18;158
2021-05-19;158
2021-05-20;168
2021-05-21;168
2021-05-22;173
2021-05-23;173
2021-05-24;173
2021-05-25;313
2021-05-26;438
2021-05-27;497
2021-05-28;517
2021-05-29;517
2021-05-30;517
2021-05-31;525
2021-06-01;525
2021-06-02;525
2021-06-03;525
2021-06-04;525
2021-06-05;525
2021-06-06;525
2021-06-07;525
2021-06-08;525
2021-06-09;525
2021-06-10;525
2021-06-11;525
2021-06-12;525
2021-06-13;525
2021-06-14;525
2021-06-15;525
2021-06-16;525
2021-06-17;525
2021-06-18;547
2021-06-19;547
2021-06-20;547
2021-06-21;599
2021-06-22;605
2021-06-23;688
2021-06-24;688
2021-06-25;688
2021-06-26;688
2021-06-27;688
2021-06-28;688
2021-06-29;688
2021-06-30;688
2021-07-01;688
2021-07-02;688
2021-07-03;688
2021-07-04;688
2021-07-05;688
2021-07-06;688
2021-07-07;688
2021-07-08;817
2021-07-09;890
2021-07-10;890
2021-07-11;890
2021-07-12;891
2021-07-13;1059
2021-07-14;1059
2021-07-15;1350
2021-07-16;1350
2021-07-17;1350
2021-07-18;1350
2021-07-19;1350
2021-07-20;1359
2021-07-21;1636
