index;count
2021-05-27;1
2021-05-28;1
2021-05-29;1
2021-05-30;1
2021-05-31;16
2021-06-01;29
2021-06-02;47
2021-06-03;58
2021-06-04;58
2021-06-05;58
2021-06-06;58
2021-06-07;58
2021-06-08;58
2021-06-09;58
2021-06-10;58
2021-06-11;58
2021-06-12;58
2021-06-13;58
2021-06-14;58
2021-06-15;58
2021-06-16;58
2021-06-17;58
2021-06-18;58
2021-06-19;58
2021-06-20;58
2021-06-21;58
2021-06-22;80
2021-06-23;80
2021-06-24;80
2021-06-25;80
2021-06-26;80
2021-06-27;80
2021-06-28;80
2021-06-29;80
2021-06-30;80
2021-07-01;80
2021-07-02;80
2021-07-03;80
2021-07-04;80
2021-07-05;80
2021-07-06;80
2021-07-07;108
2021-07-08;114
2021-07-09;114
2021-07-10;114
2021-07-11;114
2021-07-12;114
2021-07-13;146
2021-07-14;179
2021-07-15;179
2021-07-16;179
2021-07-17;179
2021-07-18;179
2021-07-19;179
2021-07-20;179
2021-07-21;326
2021-07-22;329
