index;count
2021-05-04;53650
2021-05-05;115392
2021-05-06;158048
2021-05-07;208022
2021-05-08;217730
2021-05-09;217871
2021-05-10;234493
2021-05-11;251114
2021-05-12;272421
2021-05-13;292809
2021-05-14;306317
2021-05-15;308864
2021-05-16;308910
2021-05-17;316421
2021-05-18;326096
2021-05-19;331643
2021-05-20;339806
2021-05-21;346794
2021-05-22;352818
2021-05-23;352900
2021-05-24;358218
2021-05-25;370329
2021-05-26;402050
2021-05-27;438970
2021-05-28;464868
2021-05-29;471854
2021-05-30;473630
2021-05-31;491397
2021-06-01;509649
2021-06-02;523133
2021-06-03;533323
2021-06-04;541033
2021-06-05;543951
2021-06-06;544173
2021-06-07;547545
2021-06-08;551092
2021-06-09;554194
2021-06-10;556388
2021-06-11;558589
2021-06-12;559374
2021-06-13;559408
2021-06-14;560697
2021-06-15;562186
2021-06-16;563447
2021-06-17;564377
2021-06-18;565121
2021-06-19;569764
2021-06-20;569834
2021-06-21;573731
2021-06-22;581980
2021-06-23;593991
2021-06-24;602146
2021-06-25;602560
2021-06-26;605391
2021-06-27;605548
2021-06-28;610758
2021-06-29;616837
2021-06-30;626077
2021-07-01;633333
2021-07-02;639576
2021-07-03;643527
2021-07-04;643647
2021-07-05;646520
2021-07-06;652211
2021-07-07;693127
2021-07-08;721088
2021-07-09;739812
2021-07-10;744319
2021-07-11;744414
2021-07-12;755180
2021-07-13;816859
2021-07-14;864866
2021-07-15;929288
2021-07-16;968081
2021-07-17;974222
2021-07-18;976053
2021-07-19;991067
2021-07-20;1008795
2021-07-21;1048127
2021-07-22;1076088
2021-07-23;1089184
2021-07-24;1091846
