Dose Aplicada;Data;Quantidade
1ªDose;2021-02-03;58
1ªDose;2021-02-04;83
1ªDose;2021-02-05;7
1ªDose;2021-02-06;1
1ªDose;2021-02-12;42
1ªDose;2021-03-03;1
1ªDose;2021-03-04;112
1ªDose;2021-03-05;150
1ªDose;2021-03-08;49
1ªDose;2021-03-12;8
1ªDose;2021-03-18;8
1ªDose;2021-03-19;15
1ªDose;2021-03-22;9
1ªDose;2021-03-31;223
1ªDose;2021-04-01;404
1ªDose;2021-04-02;1
1ªDose;2021-04-05;24
1ªDose;2021-04-06;28
1ªDose;2021-04-07;5
1ªDose;2021-04-08;99
1ªDose;2021-04-09;117
1ªDose;2021-04-13;50
1ªDose;2021-04-14;35
1ªDose;2021-04-15;136
1ªDose;2021-04-16;16
1ªDose;2021-04-17;11
1ªDose;2021-04-20;244
1ªDose;2021-04-22;5
1ªDose;2021-04-24;19
1ªDose;2021-04-26;21
1ªDose;2021-04-28;254
1ªDose;2021-04-29;4
1ªDose;2021-04-30;25
2ªDose;2021-02-03;11
2ªDose;2021-03-04;1
2ªDose;2021-03-05;1
2ªDose;2021-04-14;2
2ªDose;2021-04-20;1
2ªDose;2021-04-28;3
