Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;12
1ªDose;2021-02-02;41
1ªDose;2021-02-03;14
1ªDose;2021-02-04;3
1ªDose;2021-02-12;50
1ªDose;2021-02-15;20
1ªDose;2021-03-04;38
1ªDose;2021-03-05;73
1ªDose;2021-03-08;18
1ªDose;2021-03-09;10
1ªDose;2021-03-11;39
1ªDose;2021-03-12;19
1ªDose;2021-03-15;8
1ªDose;2021-03-16;10
1ªDose;2021-03-18;46
1ªDose;2021-03-22;10
1ªDose;2021-03-23;18
1ªDose;2021-03-24;27
1ªDose;2021-03-25;29
1ªDose;2021-03-26;50
1ªDose;2021-03-27;169
1ªDose;2021-03-29;51
1ªDose;2021-03-30;102
1ªDose;2021-03-31;65
1ªDose;2021-04-05;1
1ªDose;2021-04-07;12
1ªDose;2021-04-08;8
1ªDose;2021-04-10;2
1ªDose;2021-04-14;47
1ªDose;2021-04-15;10
1ªDose;2021-04-20;33
1ªDose;2021-04-22;8
1ªDose;2021-04-23;18
1ªDose;2021-04-28;19
1ªDose;2021-04-29;20
2ªDose;2021-02-04;9
2ªDose;2021-02-05;1
2ªDose;2021-02-08;1
2ªDose;2021-02-09;1
2ªDose;2021-02-18;12
2ªDose;2021-02-19;3
2ªDose;2021-02-22;1
2ªDose;2021-02-23;1
2ªDose;2021-03-01;56
2ªDose;2021-03-02;14
2ªDose;2021-03-15;1
2ªDose;2021-03-22;30
2ªDose;2021-03-24;10
2ªDose;2021-03-26;39
2ªDose;2021-03-27;18
2ªDose;2021-03-29;1
2ªDose;2021-03-30;8
2ªDose;2021-03-31;11
2ªDose;2021-04-05;45
2ªDose;2021-04-06;10
2ªDose;2021-04-07;33
2ªDose;2021-04-08;35
2ªDose;2021-04-09;51
2ªDose;2021-04-10;149
2ªDose;2021-04-12;34
2ªDose;2021-04-14;3
2ªDose;2021-04-15;32
2ªDose;2021-04-16;16
2ªDose;2021-04-22;26
2ªDose;2021-04-23;29
2ªDose;2021-04-27;7
2ªDose;2021-04-28;29
