Dose Aplicada;Data;Quantidade
1ªDose;2021-01-18;1
1ªDose;2021-02-01;10
1ªDose;2021-02-02;6
1ªDose;2021-02-05;1
1ªDose;2021-02-10;10
1ªDose;2021-02-11;20
1ªDose;2021-02-12;10
1ªDose;2021-03-03;9
1ªDose;2021-03-04;1
1ªDose;2021-03-05;6
1ªDose;2021-03-06;3
1ªDose;2021-03-11;20
1ªDose;2021-03-16;10
1ªDose;2021-03-17;10
1ªDose;2021-03-18;20
1ªDose;2021-03-19;1
1ªDose;2021-03-23;22
1ªDose;2021-03-24;57
1ªDose;2021-03-25;39
1ªDose;2021-03-26;2
1ªDose;2021-03-29;59
1ªDose;2021-03-30;58
1ªDose;2021-03-31;37
1ªDose;2021-04-01;1
1ªDose;2021-04-05;7
1ªDose;2021-04-09;5
1ªDose;2021-04-16;1
1ªDose;2021-04-24;12
2ªDose;2021-02-05;13
2ªDose;2021-02-09;1
2ªDose;2021-02-17;16
2ªDose;2021-02-22;1
2ªDose;2021-02-25;10
2ªDose;2021-02-26;21
2ªDose;2021-03-01;7
2ªDose;2021-03-03;2
2ªDose;2021-03-18;9
2ªDose;2021-03-19;9
2ªDose;2021-03-20;1
2ªDose;2021-03-24;1
2ªDose;2021-03-25;1
2ªDose;2021-03-26;18
2ªDose;2021-03-29;1
2ªDose;2021-03-31;9
2ªDose;2021-04-01;10
2ªDose;2021-04-05;21
2ªDose;2021-04-07;18
2ªDose;2021-04-08;58
2ªDose;2021-04-09;41
2ªDose;2021-04-13;55
2ªDose;2021-04-14;49
2ªDose;2021-04-15;40
2ªDose;2021-04-16;8
2ªDose;2021-04-24;6
