Dose Aplicada;Data;Quantidade
1ªDose;2021-02-03;4
1ªDose;2021-02-08;10
1ªDose;2021-02-12;9
1ªDose;2021-02-15;19
1ªDose;2021-02-17;10
1ªDose;2021-02-19;1
1ªDose;2021-02-26;1
1ªDose;2021-03-09;31
1ªDose;2021-03-10;20
1ªDose;2021-03-11;19
1ªDose;2021-03-16;18
1ªDose;2021-03-17;30
1ªDose;2021-03-23;94
1ªDose;2021-03-24;9
1ªDose;2021-03-29;90
1ªDose;2021-03-30;75
1ªDose;2021-03-31;1
1ªDose;2021-04-05;2
1ªDose;2021-04-07;9
1ªDose;2021-04-15;18
1ªDose;2021-04-20;3
1ªDose;2021-04-22;1
1ªDose;2021-04-23;4
1ªDose;2021-04-26;2
1ªDose;2021-04-27;14
2ªDose;2021-02-04;3
2ªDose;2021-02-05;2
2ªDose;2021-02-08;1
2ªDose;2021-02-18;3
2ªDose;2021-02-22;9
2ªDose;2021-02-26;8
2ªDose;2021-03-02;20
2ªDose;2021-03-03;1
2ªDose;2021-03-04;10
2ªDose;2021-03-16;1
2ªDose;2021-03-23;30
2ªDose;2021-03-24;10
2ªDose;2021-03-25;10
2ªDose;2021-03-26;19
2ªDose;2021-03-31;19
2ªDose;2021-04-05;30
2ªDose;2021-04-20;100
2ªDose;2021-04-22;1
2ªDose;2021-04-23;2
2ªDose;2021-04-26;88
2ªDose;2021-04-27;74
