Dose Aplicada;Data;Quantidade
1ªDose;2021-02-02;109
1ªDose;2021-02-03;80
1ªDose;2021-02-04;205
1ªDose;2021-02-05;22
1ªDose;2021-02-08;9
1ªDose;2021-02-10;19
1ªDose;2021-02-11;19
1ªDose;2021-02-16;1
1ªDose;2021-02-18;5
1ªDose;2021-02-19;6
1ªDose;2021-03-03;144
1ªDose;2021-03-04;126
1ªDose;2021-03-05;49
1ªDose;2021-03-06;91
1ªDose;2021-03-31;53
1ªDose;2021-04-06;3
1ªDose;2021-04-14;170
1ªDose;2021-04-15;135
1ªDose;2021-04-16;134
1ªDose;2021-04-19;14
1ªDose;2021-04-20;15
1ªDose;2021-04-21;1
1ªDose;2021-04-22;495
1ªDose;2021-04-23;353
1ªDose;2021-04-26;47
1ªDose;2021-04-27;13
1ªDose;2021-04-28;412
1ªDose;2021-04-29;243
1ªDose;2021-04-30;82
2ªDose;2021-02-05;1
2ªDose;2021-02-10;1
2ªDose;2021-02-19;3
2ªDose;2021-03-04;1
2ªDose;2021-04-12;106
2ªDose;2021-04-13;62
2ªDose;2021-04-14;17
2ªDose;2021-04-15;33
2ªDose;2021-04-16;2
2ªDose;2021-04-19;8
2ªDose;2021-04-20;88
2ªDose;2021-04-22;1
2ªDose;2021-04-23;38
2ªDose;2021-04-26;42
2ªDose;2021-04-27;2
2ªDose;2021-04-28;3
2ªDose;2021-04-29;1
2ªDose;2021-04-30;24
