Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;2
1ªDose;2021-02-01;2
1ªDose;2021-02-02;42
1ªDose;2021-02-03;44
1ªDose;2021-02-04;15
1ªDose;2021-02-05;5
1ªDose;2021-02-08;2
1ªDose;2021-02-09;2
1ªDose;2021-02-11;12
1ªDose;2021-02-12;21
1ªDose;2021-02-15;29
1ªDose;2021-02-23;1
1ªDose;2021-03-01;1
1ªDose;2021-03-03;11
1ªDose;2021-03-04;30
1ªDose;2021-03-05;18
1ªDose;2021-03-08;20
1ªDose;2021-03-09;31
1ªDose;2021-03-10;19
1ªDose;2021-03-11;21
1ªDose;2021-03-12;22
1ªDose;2021-03-15;18
1ªDose;2021-03-16;17
1ªDose;2021-03-17;20
1ªDose;2021-03-18;19
1ªDose;2021-03-19;10
1ªDose;2021-03-23;57
1ªDose;2021-03-24;5
1ªDose;2021-03-26;1
1ªDose;2021-03-27;136
1ªDose;2021-03-30;27
1ªDose;2021-03-31;217
1ªDose;2021-04-08;146
1ªDose;2021-04-12;1
1ªDose;2021-04-13;5
1ªDose;2021-04-14;17
1ªDose;2021-04-16;162
1ªDose;2021-04-19;19
1ªDose;2021-04-20;178
1ªDose;2021-04-23;3
1ªDose;2021-04-26;1
1ªDose;2021-04-28;186
1ªDose;2021-04-29;4
2ªDose;2021-02-03;5
2ªDose;2021-02-04;1
2ªDose;2021-02-05;2
2ªDose;2021-02-08;3
2ªDose;2021-02-09;5
2ªDose;2021-02-10;3
2ªDose;2021-02-11;3
2ªDose;2021-02-12;1
2ªDose;2021-02-17;1
2ªDose;2021-02-22;4
2ªDose;2021-02-24;8
2ªDose;2021-02-25;14
2ªDose;2021-02-26;5
2ªDose;2021-03-01;32
2ªDose;2021-03-02;22
2ªDose;2021-03-03;11
2ªDose;2021-03-05;1
2ªDose;2021-03-16;1
2ªDose;2021-03-22;6
2ªDose;2021-03-23;1
2ªDose;2021-03-24;41
2ªDose;2021-03-26;8
2ªDose;2021-03-29;20
2ªDose;2021-03-30;19
2ªDose;2021-04-05;29
2ªDose;2021-04-06;37
2ªDose;2021-04-07;53
2ªDose;2021-04-12;141
2ªDose;2021-04-13;3
2ªDose;2021-04-14;8
2ªDose;2021-04-15;180
2ªDose;2021-04-23;112
2ªDose;2021-04-29;5
