Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;11
1ªDose;2021-01-21;5
1ªDose;2021-01-22;3
1ªDose;2021-01-25;1
1ªDose;2021-01-29;1
1ªDose;2021-02-01;1
1ªDose;2021-02-02;36
1ªDose;2021-02-03;77
1ªDose;2021-02-04;2
1ªDose;2021-02-05;33
1ªDose;2021-02-08;10
1ªDose;2021-02-09;11
1ªDose;2021-02-12;39
1ªDose;2021-02-15;1
1ªDose;2021-02-16;23
1ªDose;2021-02-17;12
1ªDose;2021-02-18;1
1ªDose;2021-02-25;10
1ªDose;2021-03-01;2
1ªDose;2021-03-02;2
1ªDose;2021-03-03;60
1ªDose;2021-03-08;51
1ªDose;2021-03-09;51
1ªDose;2021-03-10;29
1ªDose;2021-03-11;10
1ªDose;2021-03-15;19
1ªDose;2021-03-16;51
1ªDose;2021-03-17;9
1ªDose;2021-03-18;9
1ªDose;2021-03-22;30
1ªDose;2021-03-23;133
1ªDose;2021-03-24;2
1ªDose;2021-03-25;19
1ªDose;2021-03-26;36
1ªDose;2021-03-29;116
1ªDose;2021-03-30;343
1ªDose;2021-03-31;94
1ªDose;2021-04-05;1
1ªDose;2021-04-07;7
1ªDose;2021-04-09;1
1ªDose;2021-04-13;6
1ªDose;2021-04-14;65
1ªDose;2021-04-15;26
1ªDose;2021-04-16;23
1ªDose;2021-04-19;29
1ªDose;2021-04-20;70
1ªDose;2021-04-22;8
1ªDose;2021-04-23;5
1ªDose;2021-04-26;18
1ªDose;2021-04-27;16
1ªDose;2021-04-28;105
1ªDose;2021-04-30;4
2ªDose;2021-02-03;5
2ªDose;2021-02-04;11
2ªDose;2021-02-05;3
2ªDose;2021-02-08;3
2ªDose;2021-02-09;9
2ªDose;2021-02-15;1
2ªDose;2021-02-16;4
2ªDose;2021-02-17;1
2ªDose;2021-02-18;5
2ªDose;2021-02-19;1
2ªDose;2021-02-22;25
2ªDose;2021-02-23;11
2ªDose;2021-02-26;1
2ªDose;2021-03-01;42
2ªDose;2021-03-02;19
2ªDose;2021-03-03;3
2ªDose;2021-03-04;10
2ªDose;2021-03-08;1
2ªDose;2021-03-09;1
2ªDose;2021-03-12;11
2ªDose;2021-03-16;1
2ªDose;2021-03-17;1
2ªDose;2021-03-18;1
2ªDose;2021-03-23;20
2ªDose;2021-03-24;48
2ªDose;2021-03-25;17
2ªDose;2021-03-29;1
2ªDose;2021-03-31;49
2ªDose;2021-04-05;9
2ªDose;2021-04-06;9
2ªDose;2021-04-07;49
2ªDose;2021-04-08;26
2ªDose;2021-04-09;53
2ªDose;2021-04-12;29
2ªDose;2021-04-13;27
2ªDose;2021-04-14;61
2ªDose;2021-04-16;27
2ªDose;2021-04-19;81
2ªDose;2021-04-20;61
2ªDose;2021-04-22;18
2ªDose;2021-04-26;26
2ªDose;2021-04-29;18
