Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;1
1ªDose;2021-01-22;16
1ªDose;2021-01-25;8
1ªDose;2021-01-26;1
1ªDose;2021-01-27;3
1ªDose;2021-01-28;4
1ªDose;2021-01-29;8
1ªDose;2021-02-01;2
1ªDose;2021-02-08;38
1ªDose;2021-02-09;58
1ªDose;2021-02-10;40
1ªDose;2021-02-11;10
1ªDose;2021-02-17;30
1ªDose;2021-02-18;52
1ªDose;2021-02-19;20
1ªDose;2021-02-22;8
1ªDose;2021-02-23;1
1ªDose;2021-02-26;2
1ªDose;2021-03-05;1
1ªDose;2021-03-08;10
1ªDose;2021-03-09;37
1ªDose;2021-03-10;39
1ªDose;2021-03-11;20
1ªDose;2021-03-12;19
1ªDose;2021-03-15;29
1ªDose;2021-03-16;21
1ªDose;2021-03-17;30
1ªDose;2021-03-18;38
1ªDose;2021-03-19;49
1ªDose;2021-03-20;89
1ªDose;2021-03-23;123
1ªDose;2021-03-24;144
1ªDose;2021-03-25;9
1ªDose;2021-03-26;8
1ªDose;2021-03-27;121
1ªDose;2021-03-29;16
1ªDose;2021-03-30;63
1ªDose;2021-03-31;49
1ªDose;2021-04-01;25
1ªDose;2021-04-05;1
1ªDose;2021-04-06;77
1ªDose;2021-04-07;144
1ªDose;2021-04-08;14
1ªDose;2021-04-09;73
1ªDose;2021-04-12;10
1ªDose;2021-04-13;1
1ªDose;2021-04-14;7
1ªDose;2021-04-15;39
1ªDose;2021-04-16;31
1ªDose;2021-04-20;57
1ªDose;2021-04-22;95
1ªDose;2021-04-23;90
1ªDose;2021-04-28;58
1ªDose;2021-04-29;61
2ªDose;2021-02-08;11
2ªDose;2021-02-09;3
2ªDose;2021-02-10;5
2ªDose;2021-02-12;4
2ªDose;2021-02-15;10
2ªDose;2021-02-17;3
2ªDose;2021-02-18;4
2ªDose;2021-02-19;3
2ªDose;2021-02-22;1
2ªDose;2021-02-23;17
2ªDose;2021-02-25;10
2ªDose;2021-02-26;18
2ªDose;2021-03-04;11
2ªDose;2021-03-05;57
2ªDose;2021-03-08;30
2ªDose;2021-03-09;8
2ªDose;2021-03-12;1
2ªDose;2021-03-18;2
2ªDose;2021-03-24;9
2ªDose;2021-03-29;18
2ªDose;2021-03-30;8
2ªDose;2021-03-31;18
2ªDose;2021-04-01;38
2ªDose;2021-04-05;91
2ªDose;2021-04-06;19
2ªDose;2021-04-07;109
2ªDose;2021-04-08;139
2ªDose;2021-04-09;14
2ªDose;2021-04-10;56
2ªDose;2021-04-12;61
2ªDose;2021-04-13;51
2ªDose;2021-04-14;70
2ªDose;2021-04-15;19
2ªDose;2021-04-16;8
2ªDose;2021-04-20;42
2ªDose;2021-04-22;55
2ªDose;2021-04-23;41
2ªDose;2021-04-26;26
2ªDose;2021-04-28;8
2ªDose;2021-04-29;8
