Dose Aplicada;Data;Quantidade
1ªDose;2021-02-01;8
1ªDose;2021-02-02;10
1ªDose;2021-02-03;9
1ªDose;2021-02-05;8
1ªDose;2021-02-10;10
1ªDose;2021-02-25;10
1ªDose;2021-03-04;6
1ªDose;2021-03-05;17
1ªDose;2021-03-08;12
1ªDose;2021-03-18;10
1ªDose;2021-04-08;9
1ªDose;2021-04-09;4
1ªDose;2021-04-14;16
1ªDose;2021-04-15;17
1ªDose;2021-04-16;7
1ªDose;2021-04-22;80
1ªDose;2021-04-26;12
2ªDose;2021-03-05;1
2ªDose;2021-03-16;1
2ªDose;2021-04-14;2
2ªDose;2021-04-16;2
2ªDose;2021-04-22;2
2ªDose;2021-04-23;23
2ªDose;2021-04-26;2
2ªDose;2021-04-27;3
