Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;2
1ªDose;2021-01-22;1
1ªDose;2021-01-26;2
1ªDose;2021-02-03;30
1ªDose;2021-02-04;26
1ªDose;2021-02-05;1
1ªDose;2021-02-08;2
1ªDose;2021-02-11;1
1ªDose;2021-02-14;1
1ªDose;2021-02-15;29
1ªDose;2021-02-18;10
1ªDose;2021-03-04;86
1ªDose;2021-03-12;41
1ªDose;2021-03-18;59
1ªDose;2021-03-25;84
1ªDose;2021-03-26;64
1ªDose;2021-03-30;90
1ªDose;2021-03-31;88
1ªDose;2021-04-05;1
1ªDose;2021-04-07;18
1ªDose;2021-04-15;46
1ªDose;2021-04-22;80
1ªDose;2021-04-26;3
1ªDose;2021-04-29;53
2ªDose;2021-02-05;6
2ªDose;2021-02-08;4
2ªDose;2021-02-09;1
2ªDose;2021-02-10;1
2ªDose;2021-02-15;1
2ªDose;2021-02-19;12
2ªDose;2021-02-22;1
2ªDose;2021-02-23;2
2ªDose;2021-03-02;31
2ªDose;2021-03-05;10
2ªDose;2021-03-19;21
2ªDose;2021-03-29;39
2ªDose;2021-03-30;1
2ªDose;2021-03-31;1
2ªDose;2021-04-05;56
2ªDose;2021-04-22;81
2ªDose;2021-04-23;61
2ªDose;2021-04-26;89
2ªDose;2021-04-28;48
2ªDose;2021-04-29;4
2ªDose;2021-04-30;3
