Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;8
1ªDose;2021-01-21;6
1ªDose;2021-01-22;1
1ªDose;2021-02-03;57
1ªDose;2021-02-04;3
1ªDose;2021-02-06;3
1ªDose;2021-02-08;1
1ªDose;2021-02-09;1
1ªDose;2021-02-15;17
1ªDose;2021-02-16;19
1ªDose;2021-02-17;9
1ªDose;2021-03-05;1
1ªDose;2021-03-09;1
1ªDose;2021-03-10;5
1ªDose;2021-03-11;4
1ªDose;2021-03-12;2
1ªDose;2021-03-15;1
1ªDose;2021-03-23;39
1ªDose;2021-03-24;1
1ªDose;2021-03-26;1
1ªDose;2021-03-30;4
1ªDose;2021-03-31;3
1ªDose;2021-04-01;21
1ªDose;2021-04-05;1
1ªDose;2021-04-08;1
1ªDose;2021-04-09;1
1ªDose;2021-04-15;1
2ªDose;2021-02-05;34
2ªDose;2021-02-08;2
2ªDose;2021-02-09;1
2ªDose;2021-02-10;1
2ªDose;2021-02-22;3
2ªDose;2021-02-24;1
2ªDose;2021-02-25;1
2ªDose;2021-03-01;3
2ªDose;2021-03-23;1
2ªDose;2021-03-24;1
2ªDose;2021-03-25;2
2ªDose;2021-03-26;1
2ªDose;2021-03-29;1
2ªDose;2021-04-08;3
2ªDose;2021-04-09;2
2ªDose;2021-04-12;3
2ªDose;2021-04-15;1
2ªDose;2021-04-20;1
