Dose Aplicada;Data;Quantidade
1ªDose;2021-01-25;2
1ªDose;2021-02-02;49
1ªDose;2021-02-03;9
1ªDose;2021-02-05;2
1ªDose;2021-02-11;10
1ªDose;2021-02-12;13
1ªDose;2021-02-13;30
1ªDose;2021-02-16;10
1ªDose;2021-02-28;1
1ªDose;2021-03-04;11
1ªDose;2021-03-05;21
1ªDose;2021-03-06;53
1ªDose;2021-03-12;12
1ªDose;2021-03-13;19
1ªDose;2021-03-17;24
1ªDose;2021-03-18;11
1ªDose;2021-03-20;21
1ªDose;2021-03-24;40
1ªDose;2021-03-25;48
1ªDose;2021-03-26;56
1ªDose;2021-03-27;69
1ªDose;2021-03-28;20
1ªDose;2021-03-29;67
1ªDose;2021-03-30;90
1ªDose;2021-03-31;49
1ªDose;2021-04-10;2
1ªDose;2021-04-12;6
1ªDose;2021-04-13;1
1ªDose;2021-04-14;41
1ªDose;2021-04-15;18
1ªDose;2021-04-21;86
1ªDose;2021-04-22;37
1ªDose;2021-04-23;9
1ªDose;2021-04-28;1
2ªDose;2021-02-04;8
2ªDose;2021-02-05;5
2ªDose;2021-02-08;2
2ªDose;2021-02-09;9
2ªDose;2021-02-17;31
2ªDose;2021-02-22;1
2ªDose;2021-02-28;51
2ªDose;2021-03-03;10
2ªDose;2021-03-20;20
2ªDose;2021-03-27;21
2ªDose;2021-03-29;11
2ªDose;2021-04-01;22
2ªDose;2021-04-03;11
2ªDose;2021-04-04;21
2ªDose;2021-04-08;38
2ªDose;2021-04-09;39
2ªDose;2021-04-10;54
2ªDose;2021-04-11;49
2ªDose;2021-04-12;33
2ªDose;2021-04-13;69
2ªDose;2021-04-14;26
2ªDose;2021-04-15;20
2ªDose;2021-04-27;69
2ªDose;2021-04-28;10
