Dose Aplicada;Data;Quantidade
1ªDose;2021-02-05;28
1ªDose;2021-02-08;8
1ªDose;2021-02-15;31
1ªDose;2021-02-18;44
1ªDose;2021-02-22;21
1ªDose;2021-03-05;8
1ªDose;2021-03-08;13
1ªDose;2021-03-09;96
1ªDose;2021-03-10;52
1ªDose;2021-03-11;12
1ªDose;2021-03-16;125
1ªDose;2021-03-17;8
1ªDose;2021-03-23;128
1ªDose;2021-03-29;33
1ªDose;2021-03-30;32
1ªDose;2021-03-31;2
1ªDose;2021-04-14;19
1ªDose;2021-04-15;19
1ªDose;2021-04-20;1
2ªDose;2021-02-02;2
2ªDose;2021-02-03;8
2ªDose;2021-02-04;7
2ªDose;2021-02-05;1
2ªDose;2021-02-09;4
2ªDose;2021-02-20;3
2ªDose;2021-02-22;31
2ªDose;2021-02-23;1
2ªDose;2021-02-26;1
2ªDose;2021-03-08;16
2ªDose;2021-03-09;49
2ªDose;2021-03-10;18
2ªDose;2021-03-16;1
2ªDose;2021-03-20;1
2ªDose;2021-03-23;24
2ªDose;2021-03-24;77
2ªDose;2021-03-25;54
2ªDose;2021-03-26;1
2ªDose;2021-03-29;1
2ªDose;2021-03-31;80
2ªDose;2021-04-05;1
2ªDose;2021-04-19;50
2ªDose;2021-04-20;37
2ªDose;2021-04-23;2
