Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;13
1ªDose;2021-02-01;50
1ªDose;2021-02-02;9
1ªDose;2021-02-12;28
1ªDose;2021-02-17;21
1ªDose;2021-02-18;29
1ªDose;2021-02-19;2
1ªDose;2021-03-04;41
1ªDose;2021-03-05;23
1ªDose;2021-03-08;19
1ªDose;2021-03-09;11
1ªDose;2021-03-10;10
1ªDose;2021-03-11;29
1ªDose;2021-03-12;29
1ªDose;2021-03-15;10
1ªDose;2021-03-16;9
1ªDose;2021-03-18;30
1ªDose;2021-03-22;12
1ªDose;2021-03-23;10
1ªDose;2021-03-24;45
1ªDose;2021-03-25;38
1ªDose;2021-03-26;33
1ªDose;2021-03-29;59
1ªDose;2021-03-30;72
1ªDose;2021-03-31;97
1ªDose;2021-04-01;30
1ªDose;2021-04-06;19
1ªDose;2021-04-07;24
1ªDose;2021-04-08;11
1ªDose;2021-04-09;19
1ªDose;2021-04-12;2
1ªDose;2021-04-13;12
1ªDose;2021-04-14;7
1ªDose;2021-04-15;49
1ªDose;2021-04-20;94
1ªDose;2021-04-21;15
1ªDose;2021-04-22;16
1ªDose;2021-04-23;4
1ªDose;2021-04-28;65
1ªDose;2021-04-29;12
2ªDose;2021-02-04;13
2ªDose;2021-02-08;1
2ªDose;2021-02-17;8
2ªDose;2021-02-18;10
2ªDose;2021-02-26;18
2ªDose;2021-03-01;9
2ªDose;2021-03-05;10
2ªDose;2021-03-08;20
2ªDose;2021-03-12;1
2ªDose;2021-03-18;1
2ªDose;2021-03-22;19
2ªDose;2021-03-24;2
2ªDose;2021-03-25;10
2ªDose;2021-03-26;17
2ªDose;2021-03-29;34
2ªDose;2021-03-30;10
2ªDose;2021-03-31;9
2ªDose;2021-04-04;20
2ªDose;2021-04-05;30
2ªDose;2021-04-06;9
2ªDose;2021-04-07;12
2ªDose;2021-04-08;19
2ªDose;2021-04-09;44
2ªDose;2021-04-12;36
2ªDose;2021-04-13;74
2ªDose;2021-04-14;58
2ªDose;2021-04-15;42
2ªDose;2021-04-20;26
2ªDose;2021-04-21;31
2ªDose;2021-04-22;8
2ªDose;2021-04-26;19
2ªDose;2021-04-28;19
2ªDose;2021-04-29;10
