Dose Aplicada;Data;Quantidade
1ªDose;2021-01-30;1
1ªDose;2021-02-01;6
1ªDose;2021-02-27;73
1ªDose;2021-03-01;19
1ªDose;2021-03-02;22
1ªDose;2021-03-03;80
1ªDose;2021-03-29;11
1ªDose;2021-03-30;75
1ªDose;2021-03-31;10
1ªDose;2021-04-03;30
1ªDose;2021-04-05;20
1ªDose;2021-04-07;16
1ªDose;2021-04-09;5
1ªDose;2021-04-10;85
1ªDose;2021-04-12;30
1ªDose;2021-04-13;3
1ªDose;2021-04-15;5
1ªDose;2021-04-16;5
1ªDose;2021-04-17;220
1ªDose;2021-04-19;30
1ªDose;2021-04-20;27
1ªDose;2021-04-22;7
1ªDose;2021-04-23;5
1ªDose;2021-04-24;106
1ªDose;2021-04-26;19
1ªDose;2021-04-27;11
1ªDose;2021-04-28;8
1ªDose;2021-04-29;6
1ªDose;2021-04-30;173
1ªDose;2021-05-01;131
2ªDose;2021-04-26;5
2ªDose;2021-04-27;27
2ªDose;2021-04-28;15
2ªDose;2021-04-29;37
2ªDose;2021-04-30;15
