Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;28
1ªDose;2021-01-22;2
1ªDose;2021-01-23;3
1ªDose;2021-01-26;1
1ªDose;2021-01-28;1
1ªDose;2021-01-31;1
1ªDose;2021-02-01;42
1ªDose;2021-02-05;1
1ªDose;2021-02-10;1
1ªDose;2021-02-21;3
1ªDose;2021-02-26;1
1ªDose;2021-03-01;38
1ªDose;2021-03-02;22
1ªDose;2021-03-03;19
1ªDose;2021-03-05;2
1ªDose;2021-03-16;1
1ªDose;2021-03-26;48
1ªDose;2021-03-29;2
1ªDose;2021-04-13;65
1ªDose;2021-04-16;17
1ªDose;2021-04-19;38
1ªDose;2021-04-20;13
1ªDose;2021-04-22;17
1ªDose;2021-04-23;82
1ªDose;2021-04-26;47
1ªDose;2021-04-27;1
2ªDose;2021-01-21;1
2ªDose;2021-02-09;2
2ªDose;2021-02-11;1
2ªDose;2021-04-19;2
2ªDose;2021-04-20;4
2ªDose;2021-04-23;8
2ªDose;2021-04-27;2
2ªDose;2021-04-28;1
