Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;68
1ªDose;2021-01-20;8
1ªDose;2021-01-21;1
1ªDose;2021-01-22;55
1ªDose;2021-01-24;1
1ªDose;2021-01-25;6
1ªDose;2021-01-26;17
1ªDose;2021-01-27;15
1ªDose;2021-01-28;2
1ªDose;2021-01-29;9
1ªDose;2021-02-01;84
1ªDose;2021-02-02;1
1ªDose;2021-02-03;15
1ªDose;2021-02-04;17
1ªDose;2021-02-05;2
1ªDose;2021-02-08;1
1ªDose;2021-02-09;5
1ªDose;2021-02-10;25
1ªDose;2021-02-11;10
1ªDose;2021-02-12;63
1ªDose;2021-02-16;1
1ªDose;2021-02-19;2
1ªDose;2021-02-21;1
1ªDose;2021-02-22;20
1ªDose;2021-02-23;2
1ªDose;2021-02-25;1
1ªDose;2021-02-26;50
1ªDose;2021-02-27;2
1ªDose;2021-03-01;19
1ªDose;2021-03-02;8
1ªDose;2021-03-03;18
1ªDose;2021-03-04;13
1ªDose;2021-03-05;49
1ªDose;2021-03-11;145
1ªDose;2021-03-12;6
1ªDose;2021-03-14;3
1ªDose;2021-03-15;21
1ªDose;2021-03-19;137
1ªDose;2021-03-20;1
1ªDose;2021-03-22;53
1ªDose;2021-03-23;164
1ªDose;2021-03-24;1
1ªDose;2021-03-25;102
1ªDose;2021-03-26;2
1ªDose;2021-03-29;61
1ªDose;2021-03-30;22
1ªDose;2021-03-31;53
1ªDose;2021-04-01;8
1ªDose;2021-04-02;20
1ªDose;2021-04-03;43
1ªDose;2021-04-05;48
1ªDose;2021-04-06;60
1ªDose;2021-04-09;4
1ªDose;2021-04-12;41
1ªDose;2021-04-13;18
1ªDose;2021-04-14;1
1ªDose;2021-04-16;10
1ªDose;2021-04-19;2
1ªDose;2021-04-22;19
1ªDose;2021-04-26;1
2ªDose;2021-01-22;1
2ªDose;2021-01-25;1
2ªDose;2021-01-26;1
2ªDose;2021-02-01;1
2ªDose;2021-02-02;77
2ªDose;2021-02-03;24
2ªDose;2021-02-04;11
2ªDose;2021-02-05;9
2ªDose;2021-02-08;32
2ªDose;2021-02-09;30
2ªDose;2021-02-10;9
2ªDose;2021-02-11;2
2ªDose;2021-02-12;5
2ªDose;2021-02-16;1
2ªDose;2021-02-18;3
2ªDose;2021-02-19;3
2ªDose;2021-02-22;1
2ªDose;2021-03-02;1
2ªDose;2021-03-03;71
2ªDose;2021-03-04;20
2ªDose;2021-03-08;6
2ªDose;2021-03-09;5
2ªDose;2021-03-11;1
2ªDose;2021-03-12;107
2ªDose;2021-03-13;1
2ªDose;2021-03-14;7
2ªDose;2021-03-15;7
2ªDose;2021-03-16;4
2ªDose;2021-03-19;1
2ªDose;2021-03-23;2
2ªDose;2021-04-01;27
2ªDose;2021-04-05;1
2ªDose;2021-04-06;5
2ªDose;2021-04-07;1
2ªDose;2021-04-08;31
2ªDose;2021-04-09;30
2ªDose;2021-04-12;5
2ªDose;2021-04-15;3
2ªDose;2021-04-16;90
2ªDose;2021-04-19;76
