index;count
2021-05-04;20
2021-05-05;55
2021-05-06;55
2021-05-07;55
2021-05-08;133
2021-05-09;133
2021-05-10;133
2021-05-11;133
2021-05-12;133
2021-05-13;134
2021-05-14;134
2021-05-15;134
2021-05-16;134
2021-05-17;136
2021-05-18;136
2021-05-19;136
2021-05-20;136
2021-05-21;136
2021-05-22;136
2021-05-23;136
2021-05-24;137
2021-05-25;138
2021-05-26;163
2021-05-27;178
2021-05-28;178
2021-05-29;178
2021-05-30;178
2021-05-31;178
2021-06-01;178
2021-06-02;178
2021-06-03;178
2021-06-04;178
2021-06-05;178
2021-06-06;178
2021-06-07;178
2021-06-08;178
2021-06-09;189
2021-06-10;189
2021-06-11;189
2021-06-12;189
2021-06-13;189
2021-06-14;189
2021-06-15;189
2021-06-16;189
2021-06-17;189
2021-06-18;189
2021-06-19;189
2021-06-20;189
2021-06-21;189
2021-06-22;189
2021-06-23;189
2021-06-24;189
2021-06-25;189
2021-06-26;189
2021-06-27;189
2021-06-28;189
2021-06-29;200
2021-06-30;200
2021-07-01;221
2021-07-02;221
2021-07-03;221
2021-07-04;221
2021-07-05;239
2021-07-06;239
2021-07-07;239
2021-07-08;249
2021-07-09;249
2021-07-10;249
2021-07-11;249
2021-07-12;249
2021-07-13;249
2021-07-14;249
2021-07-15;249
2021-07-16;383
2021-07-17;383
2021-07-18;383
2021-07-19;383
2021-07-20;391
2021-07-21;494
2021-07-22;494
2021-07-23;578
