index;count
2021-05-05;1
2021-05-06;6
2021-05-07;6
2021-05-08;6
2021-05-09;6
2021-05-10;6
2021-05-11;18
2021-05-12;49
2021-05-13;49
2021-05-14;52
2021-05-15;52
2021-05-16;52
2021-05-17;55
2021-05-18;59
2021-05-19;59
2021-05-20;77
2021-05-21;77
2021-05-22;77
2021-05-23;77
2021-05-24;77
2021-05-25;77
2021-05-26;79
2021-05-27;79
2021-05-28;79
2021-05-29;79
2021-05-30;79
2021-05-31;79
2021-06-01;89
2021-06-02;97
2021-06-03;128
2021-06-04;128
2021-06-05;128
2021-06-06;128
2021-06-07;128
2021-06-08;128
2021-06-09;128
2021-06-10;128
2021-06-11;128
2021-06-12;128
2021-06-13;128
2021-06-14;128
2021-06-15;128
2021-06-16;128
2021-06-17;128
2021-06-18;128
2021-06-19;128
2021-06-20;128
2021-06-21;128
2021-06-22;128
2021-06-23;128
2021-06-24;128
2021-06-25;128
2021-06-26;128
2021-06-27;128
2021-06-28;148
2021-06-29;148
2021-06-30;148
2021-07-01;148
2021-07-02;148
2021-07-03;148
2021-07-04;148
2021-07-05;148
2021-07-06;148
2021-07-07;148
2021-07-08;148
2021-07-09;148
2021-07-10;148
2021-07-11;148
2021-07-12;148
2021-07-13;148
2021-07-14;148
2021-07-15;148
2021-07-16;180
2021-07-17;180
2021-07-18;180
2021-07-19;246
2021-07-20;284
2021-07-21;284
2021-07-22;331
