index;count
2021-05-05;124
2021-05-06;141
2021-05-07;141
2021-05-08;141
2021-05-09;141
2021-05-10;221
2021-05-11;238
2021-05-12;239
2021-05-13;239
2021-05-14;239
2021-05-15;239
2021-05-16;239
2021-05-17;293
2021-05-18;296
2021-05-19;296
2021-05-20;296
2021-05-21;297
2021-05-22;297
2021-05-23;297
2021-05-24;297
2021-05-25;297
2021-05-26;297
2021-05-27;331
2021-05-28;349
2021-05-29;349
2021-05-30;349
2021-05-31;349
2021-06-01;349
2021-06-02;349
2021-06-03;349
2021-06-04;349
2021-06-05;349
2021-06-06;349
2021-06-07;349
2021-06-08;349
2021-06-09;349
2021-06-10;349
2021-06-11;349
2021-06-12;349
2021-06-13;349
2021-06-14;349
2021-06-15;349
2021-06-16;349
2021-06-17;349
2021-06-18;349
2021-06-19;349
2021-06-20;349
2021-06-21;349
2021-06-22;349
2021-06-23;349
2021-06-24;349
2021-06-25;349
2021-06-26;349
2021-06-27;349
2021-06-28;349
2021-06-29;349
2021-06-30;349
2021-07-01;349
2021-07-02;349
2021-07-03;349
2021-07-04;349
2021-07-05;374
2021-07-06;374
2021-07-07;374
2021-07-08;374
2021-07-09;374
2021-07-10;374
2021-07-11;374
2021-07-12;416
2021-07-13;416
2021-07-14;416
2021-07-15;437
2021-07-16;458
2021-07-17;458
2021-07-18;458
2021-07-19;474
