index;count
2021-05-13;1
2021-05-14;4
2021-05-15;4
2021-05-16;4
2021-05-17;4
2021-05-18;5
2021-05-19;5
2021-05-20;5
2021-05-21;5
2021-05-22;5
2021-05-23;5
2021-05-24;5
2021-05-25;17
2021-05-26;55
2021-05-27;83
2021-05-28;90
2021-05-29;110
2021-05-30;110
2021-05-31;129
2021-06-01;129
2021-06-02;129
2021-06-03;129
2021-06-04;129
2021-06-05;129
2021-06-06;129
2021-06-07;129
2021-06-08;129
2021-06-09;129
2021-06-10;129
2021-06-11;129
2021-06-12;129
2021-06-13;129
2021-06-14;129
2021-06-15;129
2021-06-16;129
2021-06-17;137
2021-06-18;246
2021-06-19;262
2021-06-20;262
2021-06-21;305
2021-06-22;620
2021-06-23;764
2021-06-24;764
2021-06-25;764
2021-06-26;764
2021-06-27;764
2021-06-28;831
2021-06-29;861
2021-06-30;929
2021-07-01;951
2021-07-02;955
2021-07-03;987
2021-07-04;987
2021-07-05;987
2021-07-06;1037
2021-07-07;1037
2021-07-08;1042
2021-07-09;1042
2021-07-10;1042
2021-07-11;1042
2021-07-12;1042
2021-07-13;1050
2021-07-14;1050
2021-07-15;1050
2021-07-16;1050
2021-07-17;1050
2021-07-18;1050
2021-07-19;1050
2021-07-20;1070
2021-07-21;1153
2021-07-22;1154
