index;count
2021-05-04;15
2021-05-05;32
2021-05-06;54
2021-05-07;58
2021-05-08;58
2021-05-09;58
2021-05-10;58
2021-05-11;59
2021-05-12;59
2021-05-13;59
2021-05-14;68
2021-05-15;68
2021-05-16;68
2021-05-17;68
2021-05-18;68
2021-05-19;68
2021-05-20;73
2021-05-21;73
2021-05-22;73
2021-05-23;73
2021-05-24;73
2021-05-25;214
2021-05-26;274
2021-05-27;308
2021-05-28;421
2021-05-29;421
2021-05-30;421
2021-05-31;458
2021-06-01;468
2021-06-02;488
2021-06-03;488
2021-06-04;498
2021-06-05;498
2021-06-06;498
2021-06-07;509
2021-06-08;509
2021-06-09;530
2021-06-10;530
2021-06-11;530
2021-06-12;530
2021-06-13;530
2021-06-14;530
2021-06-15;530
2021-06-16;652
2021-06-17;1081
2021-06-18;1386
2021-06-19;1386
2021-06-20;1386
2021-06-21;1689
2021-06-22;1771
2021-06-23;1858
2021-06-24;1990
2021-06-25;1990
2021-06-26;1990
2021-06-27;1991
2021-06-28;2027
2021-06-29;2121
2021-06-30;2155
2021-07-01;2162
2021-07-02;2193
2021-07-03;2193
2021-07-04;2193
2021-07-05;2242
2021-07-06;2377
2021-07-07;2378
2021-07-08;2436
2021-07-09;2557
2021-07-10;2558
2021-07-11;2558
2021-07-12;2583
2021-07-13;2598
2021-07-14;2598
2021-07-15;2608
2021-07-16;2608
2021-07-17;2608
2021-07-18;2608
2021-07-19;2610
2021-07-20;2664
2021-07-21;2689
