index;count
2021-05-19;1
2021-05-20;1
2021-05-21;1
2021-05-22;1
2021-05-23;1
2021-05-24;1
2021-05-25;10
2021-05-26;27
2021-05-27;36
2021-05-28;56
2021-05-29;57
2021-05-30;57
2021-05-31;67
2021-06-01;75
2021-06-02;80
2021-06-03;95
2021-06-04;104
2021-06-05;104
2021-06-06;104
2021-06-07;105
2021-06-08;105
2021-06-09;105
2021-06-10;105
2021-06-11;105
2021-06-12;105
2021-06-13;105
2021-06-14;105
2021-06-15;108
2021-06-16;117
2021-06-17;196
2021-06-18;262
2021-06-19;262
2021-06-20;262
2021-06-21;356
2021-06-22;512
2021-06-23;619
2021-06-24;768
2021-06-25;768
2021-06-26;846
2021-06-27;849
2021-06-28;954
2021-06-29;1015
2021-06-30;1055
2021-07-01;1094
2021-07-02;1107
2021-07-03;1110
2021-07-04;1110
2021-07-05;1146
2021-07-06;1168
2021-07-07;1176
2021-07-08;1196
2021-07-09;1206
2021-07-10;1206
2021-07-11;1206
2021-07-12;1215
2021-07-13;1221
2021-07-14;1221
2021-07-15;1240
2021-07-16;1248
2021-07-17;1248
2021-07-18;1248
2021-07-19;1253
2021-07-20;1255
2021-07-21;1256
2021-07-22;1265
2021-07-23;1267
