index;count
2021-05-12;1
2021-05-13;1
2021-05-14;4
2021-05-15;4
2021-05-16;4
2021-05-17;4
2021-05-18;4
2021-05-19;4
2021-05-20;4
2021-05-21;4
2021-05-22;4
2021-05-23;4
2021-05-24;4
2021-05-25;155
2021-05-26;204
2021-05-27;219
2021-05-28;278
2021-05-29;278
2021-05-30;278
2021-05-31;288
2021-06-01;305
2021-06-02;307
2021-06-03;321
2021-06-04;340
2021-06-05;340
2021-06-06;340
2021-06-07;346
2021-06-08;346
2021-06-09;412
2021-06-10;425
2021-06-11;425
2021-06-12;426
2021-06-13;427
2021-06-14;427
2021-06-15;427
2021-06-16;878
2021-06-17;1027
2021-06-18;1091
2021-06-19;1112
2021-06-20;1112
2021-06-21;1122
2021-06-22;1123
2021-06-23;1625
2021-06-24;1655
2021-06-25;1655
2021-06-26;1655
2021-06-27;1655
2021-06-28;1655
2021-06-29;1655
2021-06-30;1655
2021-07-01;1656
2021-07-02;1656
2021-07-03;1656
2021-07-04;1656
2021-07-05;1656
2021-07-06;1658
2021-07-07;1666
2021-07-08;1666
2021-07-09;1666
2021-07-10;1666
2021-07-11;1666
2021-07-12;1666
2021-07-13;1667
2021-07-14;1667
2021-07-15;1667
2021-07-16;1667
2021-07-17;1704
2021-07-18;1704
2021-07-19;1706
2021-07-20;1706
2021-07-21;1710
2021-07-22;1715
