Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;1
1ªDose;2021-01-20;3
1ªDose;2021-01-21;1
1ªDose;2021-01-23;1
1ªDose;2021-02-01;1
1ªDose;2021-02-02;5
1ªDose;2021-02-03;1
1ªDose;2021-02-10;1
1ªDose;2021-02-11;65
1ªDose;2021-02-12;155
1ªDose;2021-02-13;3
1ªDose;2021-02-15;77
1ªDose;2021-02-16;8
1ªDose;2021-02-17;25
1ªDose;2021-02-18;12
1ªDose;2021-02-19;5
1ªDose;2021-02-23;5
1ªDose;2021-02-25;5
1ªDose;2021-02-26;48
1ªDose;2021-03-01;31
1ªDose;2021-03-02;11
1ªDose;2021-03-03;14
1ªDose;2021-03-04;1
1ªDose;2021-03-09;1
1ªDose;2021-03-10;3
1ªDose;2021-03-11;3
1ªDose;2021-03-12;10
1ªDose;2021-03-13;4
1ªDose;2021-03-15;117
1ªDose;2021-03-16;180
1ªDose;2021-03-17;227
1ªDose;2021-03-18;96
1ªDose;2021-03-19;481
1ªDose;2021-03-22;195
1ªDose;2021-03-23;41
1ªDose;2021-03-24;22
1ªDose;2021-03-25;13
1ªDose;2021-03-30;1738
1ªDose;2021-03-31;769
1ªDose;2021-04-01;61
1ªDose;2021-04-05;173
1ªDose;2021-04-06;296
1ªDose;2021-04-07;302
1ªDose;2021-04-08;57
1ªDose;2021-04-09;152
1ªDose;2021-04-12;76
1ªDose;2021-04-13;30
1ªDose;2021-04-14;24
1ªDose;2021-04-15;26
1ªDose;2021-04-16;20
1ªDose;2021-04-19;35
1ªDose;2021-04-20;120
1ªDose;2021-04-22;183
1ªDose;2021-04-23;122
1ªDose;2021-04-26;71
1ªDose;2021-04-27;11
1ªDose;2021-04-28;1
1ªDose;2021-04-29;5
1ªDose;2021-04-30;6
2ªDose;2021-02-10;94
2ªDose;2021-02-11;336
2ªDose;2021-02-12;144
2ªDose;2021-02-13;13
2ªDose;2021-02-14;1
2ªDose;2021-02-15;32
2ªDose;2021-02-17;62
2ªDose;2021-02-18;13
2ªDose;2021-02-19;4
2ªDose;2021-02-23;3
2ªDose;2021-02-25;2
2ªDose;2021-03-03;1
2ªDose;2021-03-04;61
2ªDose;2021-03-05;15
2ªDose;2021-03-06;1
2ªDose;2021-03-08;98
2ªDose;2021-03-09;56
2ªDose;2021-03-10;22
2ªDose;2021-03-11;32
2ªDose;2021-03-12;9
2ªDose;2021-03-14;3
2ªDose;2021-03-15;15
2ªDose;2021-03-16;2
2ªDose;2021-03-17;3
2ªDose;2021-03-19;4
2ªDose;2021-03-22;5
2ªDose;2021-03-23;11
2ªDose;2021-03-24;15
2ªDose;2021-03-25;7
2ªDose;2021-03-29;19
2ªDose;2021-03-30;16
2ªDose;2021-03-31;5
2ªDose;2021-04-01;1
2ªDose;2021-04-05;8
2ªDose;2021-04-06;284
2ªDose;2021-04-07;233
2ªDose;2021-04-08;97
2ªDose;2021-04-09;61
2ªDose;2021-04-12;35
2ªDose;2021-04-13;7
2ªDose;2021-04-14;614
2ªDose;2021-04-15;519
2ªDose;2021-04-16;294
2ªDose;2021-04-19;234
2ªDose;2021-04-20;195
2ªDose;2021-04-21;1
2ªDose;2021-04-22;207
2ªDose;2021-04-23;158
2ªDose;2021-04-24;1
2ªDose;2021-04-26;144
2ªDose;2021-04-27;78
2ªDose;2021-04-28;68
2ªDose;2021-04-29;62
2ªDose;2021-04-30;29
