Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;1
1ªDose;2021-02-08;10
1ªDose;2021-02-09;17
1ªDose;2021-02-10;11
1ªDose;2021-02-11;30
1ªDose;2021-02-16;10
1ªDose;2021-02-19;10
1ªDose;2021-03-23;127
1ªDose;2021-03-24;1
1ªDose;2021-03-25;10
1ªDose;2021-03-29;10
1ªDose;2021-03-31;7
1ªDose;2021-04-13;57
1ªDose;2021-04-20;8
1ªDose;2021-04-21;5
1ªDose;2021-04-23;30
1ªDose;2021-04-27;120
1ªDose;2021-04-29;1
2ªDose;2021-02-12;63
2ªDose;2021-02-15;32
2ªDose;2021-02-16;6
2ªDose;2021-02-17;1
2ªDose;2021-02-18;1
2ªDose;2021-02-19;2
2ªDose;2021-02-23;1
2ªDose;2021-02-24;1
2ªDose;2021-03-02;2
2ªDose;2021-03-03;2
2ªDose;2021-03-04;14
2ªDose;2021-03-05;28
2ªDose;2021-03-09;1
2ªDose;2021-03-10;20
2ªDose;2021-03-12;7
2ªDose;2021-03-15;2
2ªDose;2021-03-16;2
2ªDose;2021-03-17;4
2ªDose;2021-03-23;3
2ªDose;2021-03-24;2
2ªDose;2021-03-30;2
2ªDose;2021-03-31;2
2ªDose;2021-04-09;2
2ªDose;2021-04-20;120
2ªDose;2021-04-21;2
2ªDose;2021-04-23;1
2ªDose;2021-04-26;7
2ªDose;2021-04-29;9
