Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;1
1ªDose;2021-01-20;93
1ªDose;2021-01-21;39
1ªDose;2021-01-22;6
1ªDose;2021-01-23;29
1ªDose;2021-01-24;65
1ªDose;2021-01-25;7
1ªDose;2021-01-26;37
1ªDose;2021-01-27;79
1ªDose;2021-01-28;134
1ªDose;2021-01-29;280
1ªDose;2021-01-30;75
1ªDose;2021-01-31;157
1ªDose;2021-02-01;213
1ªDose;2021-02-02;90
1ªDose;2021-02-03;125
1ªDose;2021-02-04;46
1ªDose;2021-02-05;470
1ªDose;2021-02-06;11
1ªDose;2021-02-07;1
1ªDose;2021-02-08;21
1ªDose;2021-02-09;67
1ªDose;2021-02-10;69
1ªDose;2021-02-11;14
1ªDose;2021-02-12;5
1ªDose;2021-02-13;13
1ªDose;2021-02-14;12
1ªDose;2021-02-15;37
1ªDose;2021-02-16;114
1ªDose;2021-02-17;128
1ªDose;2021-02-18;59
1ªDose;2021-02-19;27
1ªDose;2021-02-20;36
1ªDose;2021-02-21;26
1ªDose;2021-02-22;9
1ªDose;2021-02-23;18
1ªDose;2021-02-24;6
1ªDose;2021-02-25;15
1ªDose;2021-02-26;55
1ªDose;2021-02-27;3
1ªDose;2021-02-28;21
1ªDose;2021-03-01;10
1ªDose;2021-03-02;60
1ªDose;2021-03-03;13
1ªDose;2021-03-04;17
1ªDose;2021-03-05;25
1ªDose;2021-03-06;5
1ªDose;2021-03-07;4
1ªDose;2021-03-08;4
1ªDose;2021-03-09;28
1ªDose;2021-03-10;31
1ªDose;2021-03-11;66
1ªDose;2021-03-12;27
1ªDose;2021-03-13;4
1ªDose;2021-03-15;13
1ªDose;2021-03-16;7
1ªDose;2021-03-17;30
1ªDose;2021-03-18;22
1ªDose;2021-03-19;355
1ªDose;2021-03-20;29
1ªDose;2021-03-21;1
1ªDose;2021-03-22;44
1ªDose;2021-03-23;627
1ªDose;2021-03-24;300
1ªDose;2021-03-25;169
1ªDose;2021-03-26;121
1ªDose;2021-03-27;10
1ªDose;2021-03-29;16
1ªDose;2021-03-30;50
1ªDose;2021-03-31;10
1ªDose;2021-04-01;8
1ªDose;2021-04-02;1
1ªDose;2021-04-05;30
1ªDose;2021-04-06;393
1ªDose;2021-04-07;49
1ªDose;2021-04-08;38
1ªDose;2021-04-09;10
1ªDose;2021-04-12;14
1ªDose;2021-04-13;23
1ªDose;2021-04-14;3
1ªDose;2021-04-15;9
1ªDose;2021-04-16;9
1ªDose;2021-04-19;13
1ªDose;2021-04-20;14
1ªDose;2021-04-22;8
1ªDose;2021-04-23;177
1ªDose;2021-04-26;12
1ªDose;2021-04-27;2
1ªDose;2021-04-29;21
2ªDose;2021-01-18;1
2ªDose;2021-01-25;1
2ªDose;2021-02-02;2
2ªDose;2021-02-03;1
2ªDose;2021-02-08;3
2ªDose;2021-02-09;1
2ªDose;2021-02-10;101
2ªDose;2021-02-11;316
2ªDose;2021-02-12;372
2ªDose;2021-02-13;180
2ªDose;2021-02-14;43
2ªDose;2021-02-15;272
2ªDose;2021-02-16;635
2ªDose;2021-02-17;345
2ªDose;2021-02-18;220
2ªDose;2021-02-19;175
2ªDose;2021-02-20;136
2ªDose;2021-02-21;101
2ªDose;2021-02-22;82
2ªDose;2021-02-23;109
2ªDose;2021-02-24;94
2ªDose;2021-02-25;102
2ªDose;2021-02-26;417
2ªDose;2021-02-27;34
2ªDose;2021-02-28;50
2ªDose;2021-03-01;43
2ªDose;2021-03-02;72
2ªDose;2021-03-03;31
2ªDose;2021-03-04;29
2ªDose;2021-03-05;11
2ªDose;2021-03-06;6
2ªDose;2021-03-07;11
2ªDose;2021-03-08;66
2ªDose;2021-03-09;14
2ªDose;2021-03-10;57
2ªDose;2021-03-11;22
2ªDose;2021-03-12;15
2ªDose;2021-03-13;12
2ªDose;2021-03-14;2
2ªDose;2021-03-15;17
2ªDose;2021-03-16;15
2ªDose;2021-03-17;16
2ªDose;2021-03-18;32
2ªDose;2021-03-19;18
2ªDose;2021-03-22;10
2ªDose;2021-03-23;23
2ªDose;2021-03-24;4
2ªDose;2021-03-25;25
2ªDose;2021-03-29;6
2ªDose;2021-03-30;15
2ªDose;2021-03-31;20
2ªDose;2021-04-01;53
2ªDose;2021-04-03;2
2ªDose;2021-04-05;22
2ªDose;2021-04-06;21
2ªDose;2021-04-07;7
2ªDose;2021-04-08;26
2ªDose;2021-04-09;23
2ªDose;2021-04-11;9
2ªDose;2021-04-13;12
2ªDose;2021-04-14;8
2ªDose;2021-04-15;41
2ªDose;2021-04-16;62
2ªDose;2021-04-17;1
2ªDose;2021-04-18;1
2ªDose;2021-04-19;215
2ªDose;2021-04-20;94
2ªDose;2021-04-22;107
2ªDose;2021-04-23;404
2ªDose;2021-04-24;5
2ªDose;2021-04-26;19
2ªDose;2021-04-27;13
2ªDose;2021-04-29;3
2ªDose;2021-05-01;1
