index;count
2021-05-05;1
2021-05-06;1
2021-05-07;1
2021-05-08;1
2021-05-09;1
2021-05-10;9
2021-05-11;10
2021-05-12;10
2021-05-13;10
2021-05-14;10
2021-05-15;10
2021-05-16;10
2021-05-17;28
2021-05-18;28
2021-05-19;28
2021-05-20;28
2021-05-21;28
2021-05-22;28
2021-05-23;28
2021-05-24;39
2021-05-25;39
2021-05-26;39
2021-05-27;39
2021-05-28;39
2021-05-29;39
2021-05-30;39
2021-05-31;39
2021-06-01;81
2021-06-02;99
2021-06-03;99
2021-06-04;99
2021-06-05;99
2021-06-06;99
2021-06-07;99
2021-06-08;100
2021-06-09;100
2021-06-10;100
2021-06-11;100
2021-06-12;100
2021-06-13;100
2021-06-14;100
2021-06-15;100
2021-06-16;100
2021-06-17;100
2021-06-18;100
2021-06-19;100
2021-06-20;100
2021-06-21;100
2021-06-22;100
2021-06-23;100
2021-06-24;100
2021-06-25;100
2021-06-26;100
2021-06-27;100
2021-06-28;100
2021-06-29;100
2021-06-30;100
2021-07-01;100
2021-07-02;100
2021-07-03;100
2021-07-04;100
2021-07-05;126
2021-07-06;129
2021-07-07;129
2021-07-08;129
2021-07-09;129
2021-07-10;129
2021-07-11;129
2021-07-12;158
2021-07-13;205
2021-07-14;205
2021-07-15;234
2021-07-16;240
2021-07-17;240
2021-07-18;240
2021-07-19;240
2021-07-20;259
2021-07-21;259
2021-07-22;260
2021-07-23;262
