Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;5
1ªDose;2021-01-25;1
1ªDose;2021-01-26;1
1ªDose;2021-02-01;19
1ªDose;2021-02-02;30
1ªDose;2021-02-03;29
1ªDose;2021-02-04;20
1ªDose;2021-02-05;20
1ªDose;2021-02-08;18
1ªDose;2021-02-10;19
1ªDose;2021-02-11;36
1ªDose;2021-02-12;19
1ªDose;2021-02-15;9
1ªDose;2021-02-17;17
1ªDose;2021-02-18;21
1ªDose;2021-02-19;10
1ªDose;2021-02-23;11
1ªDose;2021-03-01;3
1ªDose;2021-03-02;83
1ªDose;2021-03-03;120
1ªDose;2021-03-04;114
1ªDose;2021-03-05;102
1ªDose;2021-03-08;84
1ªDose;2021-03-09;101
1ªDose;2021-03-10;83
1ªDose;2021-03-11;18
1ªDose;2021-03-12;19
1ªDose;2021-03-15;39
1ªDose;2021-03-16;28
1ªDose;2021-03-17;40
1ªDose;2021-03-18;10
1ªDose;2021-03-19;30
1ªDose;2021-03-22;9
1ªDose;2021-03-23;206
1ªDose;2021-03-24;232
1ªDose;2021-03-25;182
1ªDose;2021-03-26;102
1ªDose;2021-03-27;135
1ªDose;2021-03-29;36
1ªDose;2021-03-30;180
1ªDose;2021-03-31;146
1ªDose;2021-04-05;1
1ªDose;2021-04-06;8
1ªDose;2021-04-07;164
1ªDose;2021-04-08;66
1ªDose;2021-04-09;2
1ªDose;2021-04-11;88
1ªDose;2021-04-12;7
1ªDose;2021-04-13;1
1ªDose;2021-04-19;62
1ªDose;2021-04-20;57
1ªDose;2021-04-22;218
1ªDose;2021-04-23;9
1ªDose;2021-04-25;144
1ªDose;2021-04-26;1
1ªDose;2021-04-27;47
1ªDose;2021-04-28;127
1ªDose;2021-04-29;1
2ªDose;2021-02-12;14
2ªDose;2021-02-15;68
2ªDose;2021-02-17;49
2ªDose;2021-02-18;8
2ªDose;2021-02-19;16
2ªDose;2021-02-22;25
2ªDose;2021-02-23;30
2ªDose;2021-02-24;15
2ªDose;2021-02-25;10
2ªDose;2021-02-26;3
2ªDose;2021-03-01;9
2ªDose;2021-03-04;2
2ªDose;2021-03-08;20
2ªDose;2021-03-11;21
2ªDose;2021-03-12;25
2ªDose;2021-03-15;18
2ªDose;2021-03-17;10
2ªDose;2021-03-18;10
2ªDose;2021-03-19;10
2ªDose;2021-03-23;11
2ªDose;2021-03-29;8
2ªDose;2021-03-30;40
2ªDose;2021-03-31;75
2ªDose;2021-04-04;1
2ªDose;2021-04-05;26
2ªDose;2021-04-06;259
2ªDose;2021-04-07;53
2ªDose;2021-04-08;6
2ªDose;2021-04-09;119
2ªDose;2021-04-12;28
2ªDose;2021-04-14;29
2ªDose;2021-04-15;87
2ªDose;2021-04-16;317
2ªDose;2021-04-17;139
2ªDose;2021-04-19;25
2ªDose;2021-04-20;245
2ªDose;2021-04-21;1
2ªDose;2021-04-22;1
2ªDose;2021-04-26;352
2ªDose;2021-04-27;114
2ªDose;2021-04-28;5
2ªDose;2021-04-29;1
