Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;1
1ªDose;2021-01-21;1
1ªDose;2021-02-10;9
1ªDose;2021-02-11;8
1ªDose;2021-02-12;2
1ªDose;2021-02-15;13
1ªDose;2021-02-16;2
1ªDose;2021-02-18;1
1ªDose;2021-02-22;3
1ªDose;2021-02-23;2
1ªDose;2021-03-09;10
1ªDose;2021-03-10;42
1ªDose;2021-03-11;53
1ªDose;2021-03-12;38
1ªDose;2021-03-15;46
1ªDose;2021-03-16;23
1ªDose;2021-03-17;9
1ªDose;2021-03-18;10
1ªDose;2021-03-19;20
1ªDose;2021-03-22;52
1ªDose;2021-03-23;53
1ªDose;2021-03-25;76
1ªDose;2021-03-26;28
1ªDose;2021-03-27;142
1ªDose;2021-03-29;26
1ªDose;2021-03-30;45
1ªDose;2021-03-31;29
1ªDose;2021-04-02;1
1ªDose;2021-04-03;99
1ªDose;2021-04-05;49
1ªDose;2021-04-06;19
1ªDose;2021-04-08;179
1ªDose;2021-04-09;17
1ªDose;2021-04-10;8
1ªDose;2021-04-12;5
1ªDose;2021-04-13;71
1ªDose;2021-04-14;3
1ªDose;2021-04-15;16
1ªDose;2021-04-16;8
1ªDose;2021-04-19;6
1ªDose;2021-04-20;9
1ªDose;2021-04-23;4
1ªDose;2021-04-27;1
2ªDose;2021-02-10;16
2ªDose;2021-02-11;12
2ªDose;2021-02-12;20
2ªDose;2021-02-15;4
2ªDose;2021-02-16;12
2ªDose;2021-02-18;8
2ªDose;2021-02-19;20
2ªDose;2021-02-21;1
2ªDose;2021-02-22;10
2ªDose;2021-02-23;1
2ªDose;2021-02-24;1
2ªDose;2021-02-25;1
2ªDose;2021-03-02;2
2ªDose;2021-03-04;8
2ªDose;2021-03-05;2
2ªDose;2021-03-08;10
2ªDose;2021-03-09;4
2ªDose;2021-03-10;6
2ªDose;2021-03-11;4
2ªDose;2021-03-12;2
2ªDose;2021-03-15;3
2ªDose;2021-03-16;2
2ªDose;2021-03-17;1
2ªDose;2021-03-23;1
2ªDose;2021-04-06;11
2ªDose;2021-04-08;56
2ªDose;2021-04-09;36
2ªDose;2021-04-10;20
2ªDose;2021-04-12;8
2ªDose;2021-04-13;13
2ªDose;2021-04-14;21
2ªDose;2021-04-15;43
2ªDose;2021-04-16;7
2ªDose;2021-04-17;52
2ªDose;2021-04-19;132
2ªDose;2021-04-20;66
2ªDose;2021-04-22;39
2ªDose;2021-04-23;32
2ªDose;2021-04-24;31
2ªDose;2021-04-26;38
2ªDose;2021-04-27;23
2ªDose;2021-04-28;11
2ªDose;2021-04-29;4
