Dose Aplicada;Data;Quantidade
1ªDose;2021-02-10;20
1ªDose;2021-03-01;38
1ªDose;2021-03-02;11
1ªDose;2021-03-08;50
1ªDose;2021-03-15;20
1ªDose;2021-03-18;10
1ªDose;2021-03-19;58
1ªDose;2021-03-20;60
1ªDose;2021-04-05;26
1ªDose;2021-04-06;28
1ªDose;2021-04-07;38
1ªDose;2021-04-12;35
1ªDose;2021-04-13;14
1ªDose;2021-04-19;1
1ªDose;2021-04-21;55
1ªDose;2021-04-22;11
1ªDose;2021-04-27;29
2ªDose;2021-02-10;26
2ªDose;2021-02-18;1
2ªDose;2021-02-22;8
2ªDose;2021-03-08;11
2ªDose;2021-03-09;9
2ªDose;2021-03-26;10
2ªDose;2021-04-05;23
2ªDose;2021-04-06;23
2ªDose;2021-04-07;2
2ªDose;2021-04-12;20
2ªDose;2021-04-13;9
2ªDose;2021-04-19;89
2ªDose;2021-04-20;29
2ªDose;2021-04-27;27
