Dose Aplicada;Data;Quantidade
1ªDose;2021-01-28;3
1ªDose;2021-02-10;30
1ªDose;2021-03-01;29
1ªDose;2021-03-02;31
1ªDose;2021-03-03;10
1ªDose;2021-03-08;30
1ªDose;2021-03-09;27
1ªDose;2021-03-10;23
1ªDose;2021-03-15;30
1ªDose;2021-03-23;56
1ªDose;2021-03-24;31
1ªDose;2021-03-25;34
1ªDose;2021-03-29;119
1ªDose;2021-03-30;1
1ªDose;2021-03-31;1
1ªDose;2021-04-05;20
1ªDose;2021-04-06;39
1ªDose;2021-04-08;8
1ªDose;2021-04-12;14
1ªDose;2021-04-16;1
1ªDose;2021-04-19;19
1ªDose;2021-04-20;38
1ªDose;2021-04-22;54
1ªDose;2021-04-23;1
1ªDose;2021-04-27;10
1ªDose;2021-04-28;1
2ªDose;2021-02-09;27
2ªDose;2021-02-11;3
2ªDose;2021-02-18;10
2ªDose;2021-03-02;1
2ªDose;2021-03-03;30
2ªDose;2021-03-22;18
2ªDose;2021-03-23;1
2ªDose;2021-03-25;4
2ªDose;2021-03-26;38
2ªDose;2021-03-27;33
2ªDose;2021-04-06;6
2ªDose;2021-04-07;31
2ªDose;2021-04-12;59
2ªDose;2021-04-13;30
2ªDose;2021-04-16;31
2ªDose;2021-04-22;61
2ªDose;2021-04-23;60
2ªDose;2021-04-27;20
