index;count
2021-05-04;169
2021-05-05;337
2021-05-06;481
2021-05-07;574
2021-05-08;583
2021-05-09;583
2021-05-10;735
2021-05-11;836
2021-05-12;931
2021-05-13;1005
2021-05-14;1055
2021-05-15;1090
2021-05-16;1090
2021-05-17;1203
2021-05-18;1377
2021-05-19;1377
2021-05-20;1500
2021-05-21;1690
2021-05-22;1690
2021-05-23;1690
2021-05-24;1714
2021-05-25;1786
2021-05-26;1842
2021-05-27;1917
2021-05-28;1982
2021-05-29;1982
2021-05-30;1982
2021-05-31;2007
2021-06-01;2077
2021-06-02;2085
2021-06-03;2093
2021-06-04;2093
2021-06-05;2093
2021-06-06;2093
2021-06-07;2093
2021-06-08;2093
2021-06-09;2093
2021-06-10;2093
2021-06-11;2093
2021-06-12;2093
2021-06-13;2093
2021-06-14;2093
2021-06-15;2093
2021-06-16;2093
2021-06-17;2093
2021-06-18;2093
2021-06-19;2093
2021-06-20;2093
2021-06-21;2093
2021-06-22;2093
2021-06-23;2093
2021-06-24;2093
2021-06-25;2093
2021-06-26;2093
2021-06-27;2093
2021-06-28;2093
2021-06-29;2093
2021-06-30;2093
2021-07-01;2093
2021-07-02;2093
2021-07-03;2156
2021-07-04;2156
2021-07-05;2156
2021-07-06;2156
2021-07-07;2156
2021-07-08;2156
2021-07-09;2156
2021-07-10;2719
2021-07-11;2719
2021-07-12;2719
2021-07-13;2719
2021-07-14;2719
2021-07-15;2719
2021-07-16;2719
2021-07-17;2719
2021-07-18;2719
2021-07-19;2719
2021-07-20;2853
2021-07-21;2918
2021-07-22;2947
2021-07-23;2949
