index;count
2021-05-25;29
2021-05-26;30
2021-05-27;40
2021-05-28;47
2021-05-29;47
2021-05-30;47
2021-05-31;47
2021-06-01;55
2021-06-02;55
2021-06-03;55
2021-06-04;55
2021-06-05;55
2021-06-06;55
2021-06-07;55
2021-06-08;55
2021-06-09;55
2021-06-10;55
2021-06-11;55
2021-06-12;55
2021-06-13;55
2021-06-14;55
2021-06-15;55
2021-06-16;55
2021-06-17;55
2021-06-18;55
2021-06-19;55
2021-06-20;55
2021-06-21;73
2021-06-22;73
2021-06-23;73
2021-06-24;73
2021-06-25;73
2021-06-26;73
2021-06-27;73
2021-06-28;73
2021-06-29;73
2021-06-30;73
2021-07-01;73
2021-07-02;84
2021-07-03;111
2021-07-04;111
2021-07-05;111
2021-07-06;111
2021-07-07;114
2021-07-08;114
2021-07-09;114
2021-07-10;207
2021-07-11;207
2021-07-12;207
2021-07-13;207
2021-07-14;207
2021-07-15;207
2021-07-16;207
2021-07-17;207
2021-07-18;207
2021-07-19;207
2021-07-20;217
2021-07-21;232
2021-07-22;280
2021-07-23;286
