index;count
2021-05-05;7
2021-05-06;7
2021-05-07;14
2021-05-08;14
2021-05-09;14
2021-05-10;55
2021-05-11;57
2021-05-12;64
2021-05-13;72
2021-05-14;75
2021-05-15;75
2021-05-16;75
2021-05-17;100
2021-05-18;117
2021-05-19;127
2021-05-20;135
2021-05-21;151
2021-05-22;152
2021-05-23;152
2021-05-24;152
2021-05-25;183
2021-05-26;230
2021-05-27;290
2021-05-28;290
2021-05-29;291
2021-05-30;291
2021-05-31;299
2021-06-01;299
2021-06-02;315
2021-06-03;325
2021-06-04;329
2021-06-05;329
2021-06-06;329
2021-06-07;329
2021-06-08;329
2021-06-09;329
2021-06-10;329
2021-06-11;329
2021-06-12;329
2021-06-13;329
2021-06-14;329
2021-06-15;329
2021-06-16;329
2021-06-17;329
2021-06-18;329
2021-06-19;329
2021-06-20;329
2021-06-21;329
2021-06-22;329
2021-06-23;356
2021-06-24;356
2021-06-25;356
2021-06-26;356
2021-06-27;356
2021-06-28;356
2021-06-29;356
2021-06-30;356
2021-07-01;356
2021-07-02;356
2021-07-03;356
2021-07-04;356
2021-07-05;356
2021-07-06;383
2021-07-07;423
2021-07-08;427
2021-07-09;427
2021-07-10;555
2021-07-11;555
2021-07-12;566
2021-07-13;608
2021-07-14;608
2021-07-15;626
2021-07-16;648
2021-07-17;648
2021-07-18;648
2021-07-19;648
2021-07-20;648
2021-07-21;659
2021-07-22;667
