index;count
2021-05-04;43
2021-05-05;53
2021-05-06;60
2021-05-07;78
2021-05-08;78
2021-05-09;78
2021-05-10;93
2021-05-11;109
2021-05-12;110
2021-05-13;124
2021-05-14;133
2021-05-15;133
2021-05-16;133
2021-05-17;145
2021-05-18;148
2021-05-19;152
2021-05-20;176
2021-05-21;176
2021-05-22;176
2021-05-23;176
2021-05-24;181
2021-05-25;207
2021-05-26;219
2021-05-27;230
2021-05-28;255
2021-05-29;255
2021-05-30;255
2021-05-31;255
2021-06-01;255
2021-06-02;258
2021-06-03;258
2021-06-04;258
2021-06-05;258
2021-06-06;258
2021-06-07;258
2021-06-08;258
2021-06-09;258
2021-06-10;258
2021-06-11;258
2021-06-12;258
2021-06-13;258
2021-06-14;258
2021-06-15;258
2021-06-16;339
2021-06-17;343
2021-06-18;343
2021-06-19;343
2021-06-20;343
2021-06-21;434
2021-06-22;434
2021-06-23;434
2021-06-24;434
2021-06-25;434
2021-06-26;434
2021-06-27;434
2021-06-28;434
2021-06-29;538
2021-06-30;609
2021-07-01;609
2021-07-02;609
2021-07-03;609
2021-07-04;609
2021-07-05;609
2021-07-06;677
2021-07-07;681
2021-07-08;743
2021-07-09;743
2021-07-10;743
2021-07-11;743
2021-07-12;743
2021-07-13;775
2021-07-14;777
2021-07-15;845
2021-07-16;845
2021-07-17;845
2021-07-18;845
2021-07-19;851
2021-07-20;944
