index;count
2021-05-04;9
2021-05-05;9
2021-05-06;9
2021-05-07;18
2021-05-08;33
2021-05-09;33
2021-05-10;33
2021-05-11;33
2021-05-12;43
2021-05-13;54
2021-05-14;56
2021-05-15;59
2021-05-16;59
2021-05-17;103
2021-05-18;103
2021-05-19;112
2021-05-20;112
2021-05-21;118
2021-05-22;118
2021-05-23;118
2021-05-24;154
2021-05-25;178
2021-05-26;207
2021-05-27;215
2021-05-28;228
2021-05-29;228
2021-05-30;228
2021-05-31;246
2021-06-01;255
2021-06-02;255
2021-06-03;255
2021-06-04;255
2021-06-05;255
2021-06-06;255
2021-06-07;255
2021-06-08;255
2021-06-09;255
2021-06-10;255
2021-06-11;255
2021-06-12;255
2021-06-13;255
2021-06-14;255
2021-06-15;255
2021-06-16;255
2021-06-17;255
2021-06-18;255
2021-06-19;280
2021-06-20;280
2021-06-21;280
2021-06-22;280
2021-06-23;311
2021-06-24;311
2021-06-25;311
2021-06-26;311
2021-06-27;311
2021-06-28;311
2021-06-29;311
2021-06-30;311
2021-07-01;311
2021-07-02;311
2021-07-03;364
2021-07-04;364
2021-07-05;364
2021-07-06;364
2021-07-07;364
2021-07-08;364
2021-07-09;364
2021-07-10;513
2021-07-11;513
2021-07-12;513
2021-07-13;536
2021-07-14;560
2021-07-15;604
2021-07-16;622
2021-07-17;622
2021-07-18;622
2021-07-19;761
