index;count
2021-05-04;6
2021-05-05;16
2021-05-06;20
2021-05-07;41
2021-05-08;41
2021-05-09;41
2021-05-10;41
2021-05-11;47
2021-05-12;47
2021-05-13;47
2021-05-14;47
2021-05-15;47
2021-05-16;47
2021-05-17;47
2021-05-18;66
2021-05-19;66
2021-05-20;66
2021-05-21;66
2021-05-22;66
2021-05-23;66
2021-05-24;98
2021-05-25;228
2021-05-26;311
2021-05-27;335
2021-05-28;343
2021-05-29;343
2021-05-30;343
2021-05-31;363
2021-06-01;442
2021-06-02;452
2021-06-03;467
2021-06-04;467
2021-06-05;467
2021-06-06;467
2021-06-07;467
2021-06-08;487
2021-06-09;487
2021-06-10;495
2021-06-11;495
2021-06-12;495
2021-06-13;495
2021-06-14;495
2021-06-15;495
2021-06-16;495
2021-06-17;495
2021-06-18;495
2021-06-19;495
2021-06-20;495
2021-06-21;495
2021-06-22;558
2021-06-23;558
2021-06-24;558
2021-06-25;558
2021-06-26;558
2021-06-27;558
2021-06-28;558
2021-06-29;558
2021-06-30;558
2021-07-01;558
2021-07-02;558
2021-07-03;559
2021-07-04;559
2021-07-05;592
2021-07-06;653
2021-07-07;665
2021-07-08;677
2021-07-09;688
2021-07-10;688
2021-07-11;688
2021-07-12;830
2021-07-13;1017
2021-07-14;1017
2021-07-15;1077
2021-07-16;1094
2021-07-17;1094
2021-07-18;1094
2021-07-19;1154
2021-07-20;1188
2021-07-21;1203
2021-07-22;1215
2021-07-23;1216
