index;count
2021-05-04;37
2021-05-05;88
2021-05-06;99
2021-05-07;146
2021-05-08;188
2021-05-09;197
2021-05-10;235
2021-05-11;259
2021-05-12;294
2021-05-13;328
2021-05-14;350
2021-05-15;366
2021-05-16;366
2021-05-17;375
2021-05-18;397
2021-05-19;421
2021-05-20;426
2021-05-21;486
2021-05-22;487
2021-05-23;487
2021-05-24;546
2021-05-25;621
2021-05-26;709
2021-05-27;794
2021-05-28;841
2021-05-29;841
2021-05-30;841
2021-05-31;849
2021-06-01;876
2021-06-02;894
2021-06-03;894
2021-06-04;961
2021-06-05;961
2021-06-06;961
2021-06-07;961
2021-06-08;961
2021-06-09;961
2021-06-10;961
2021-06-11;961
2021-06-12;961
2021-06-13;961
2021-06-14;961
2021-06-15;961
2021-06-16;961
2021-06-17;961
2021-06-18;969
2021-06-19;969
2021-06-20;1107
2021-06-21;1123
2021-06-22;1207
2021-06-23;1379
2021-06-24;1379
2021-06-25;1379
2021-06-26;1379
2021-06-27;1379
2021-06-28;1379
2021-06-29;1382
2021-06-30;1382
2021-07-01;1382
2021-07-02;1382
2021-07-03;1382
2021-07-04;1382
2021-07-05;1382
2021-07-06;1388
2021-07-07;1388
2021-07-08;1506
2021-07-09;1673
2021-07-10;1722
2021-07-11;1722
2021-07-12;1870
2021-07-13;2005
2021-07-14;2041
2021-07-15;2113
2021-07-16;2167
2021-07-17;2188
2021-07-18;2188
2021-07-19;2189
