index;count
2021-05-04;207
2021-05-05;533
2021-05-06;804
2021-05-07;1266
2021-05-08;1516
2021-05-09;1607
2021-05-10;1993
2021-05-11;2352
2021-05-12;2656
2021-05-13;2903
2021-05-14;3004
2021-05-15;3025
2021-05-16;3086
2021-05-17;3231
2021-05-18;3351
2021-05-19;3390
2021-05-20;3718
2021-05-21;3888
2021-05-22;3923
2021-05-23;3925
2021-05-24;4015
2021-05-25;4068
2021-05-26;4175
2021-05-27;4253
2021-05-28;4338
2021-05-29;4338
2021-05-30;4340
2021-05-31;4387
2021-06-01;4400
2021-06-02;4413
2021-06-03;4424
2021-06-04;4436
2021-06-05;4436
2021-06-06;4436
2021-06-07;4439
2021-06-08;4439
2021-06-09;4455
2021-06-10;4461
2021-06-11;4461
2021-06-12;4461
2021-06-13;4461
2021-06-14;4461
2021-06-15;4476
2021-06-16;4478
2021-06-17;4478
2021-06-18;4478
2021-06-19;4478
2021-06-20;4478
2021-06-21;4478
2021-06-22;4478
2021-06-23;4478
2021-06-24;4478
2021-06-25;4478
2021-06-26;4478
2021-06-27;4478
2021-06-28;4479
2021-06-29;4479
2021-06-30;4479
2021-07-01;4479
2021-07-02;4479
2021-07-03;4479
2021-07-04;4479
2021-07-05;4479
2021-07-06;4480
2021-07-07;4480
2021-07-08;4663
2021-07-09;5204
2021-07-10;5363
2021-07-11;5444
2021-07-12;5652
2021-07-13;5905
2021-07-14;5969
2021-07-15;6075
2021-07-16;6183
2021-07-17;6210
2021-07-18;6238
2021-07-19;6312
2021-07-20;6422
2021-07-21;6451
2021-07-22;6539
2021-07-23;6585
2021-07-24;6595
