Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;3
1ªDose;2021-01-21;68
1ªDose;2021-01-22;2
1ªDose;2021-01-25;6
1ªDose;2021-01-26;9
1ªDose;2021-01-27;5
1ªDose;2021-01-28;18
1ªDose;2021-01-29;38
1ªDose;2021-02-01;9
1ªDose;2021-02-04;12
1ªDose;2021-02-05;7
1ªDose;2021-02-09;11
1ªDose;2021-02-10;27
1ªDose;2021-02-11;17
1ªDose;2021-02-12;17
1ªDose;2021-02-15;4
1ªDose;2021-02-16;9
1ªDose;2021-02-18;7
1ªDose;2021-02-19;13
1ªDose;2021-02-22;4
1ªDose;2021-02-23;8
1ªDose;2021-02-25;1
1ªDose;2021-03-02;10
1ªDose;2021-03-04;9
1ªDose;2021-03-08;1
1ªDose;2021-03-09;3
1ªDose;2021-03-10;54
1ªDose;2021-03-11;158
1ªDose;2021-03-12;12
1ªDose;2021-03-15;4
1ªDose;2021-03-16;58
1ªDose;2021-03-17;85
1ªDose;2021-03-18;71
1ªDose;2021-03-19;6
1ªDose;2021-03-22;119
1ªDose;2021-03-23;113
1ªDose;2021-03-24;818
1ªDose;2021-03-25;60
1ªDose;2021-03-26;36
1ªDose;2021-03-29;108
1ªDose;2021-03-30;47
1ªDose;2021-03-31;104
1ªDose;2021-04-01;194
1ªDose;2021-04-05;22
1ªDose;2021-04-06;117
1ªDose;2021-04-07;42
1ªDose;2021-04-08;186
1ªDose;2021-04-09;150
1ªDose;2021-04-12;143
1ªDose;2021-04-13;102
1ªDose;2021-04-14;16
1ªDose;2021-04-15;8
1ªDose;2021-04-16;7
1ªDose;2021-04-19;2
1ªDose;2021-04-20;7
1ªDose;2021-04-22;1
1ªDose;2021-04-27;2
2ªDose;2021-02-02;19
2ªDose;2021-02-03;10
2ªDose;2021-02-04;116
2ªDose;2021-02-05;28
2ªDose;2021-02-06;3
2ªDose;2021-02-07;4
2ªDose;2021-02-08;14
2ªDose;2021-02-09;9
2ªDose;2021-02-10;20
2ªDose;2021-02-11;9
2ªDose;2021-02-12;33
2ªDose;2021-02-15;6
2ªDose;2021-02-16;3
2ªDose;2021-02-18;15
2ªDose;2021-02-19;7
2ªDose;2021-02-22;5
2ªDose;2021-02-23;2
2ªDose;2021-02-26;9
2ªDose;2021-03-01;1
2ªDose;2021-03-02;20
2ªDose;2021-03-03;20
2ªDose;2021-03-05;15
2ªDose;2021-03-08;3
2ªDose;2021-03-09;17
2ªDose;2021-03-10;10
2ªDose;2021-03-11;6
2ªDose;2021-03-15;3
2ªDose;2021-03-17;4
2ªDose;2021-03-19;4
2ªDose;2021-03-23;8
2ªDose;2021-03-25;7
2ªDose;2021-03-26;2
2ªDose;2021-03-29;2
2ªDose;2021-04-01;51
2ªDose;2021-04-05;105
2ªDose;2021-04-06;63
2ªDose;2021-04-07;96
2ªDose;2021-04-08;49
2ªDose;2021-04-09;39
2ªDose;2021-04-12;98
2ªDose;2021-04-13;89
2ªDose;2021-04-14;734
2ªDose;2021-04-15;68
2ªDose;2021-04-19;87
2ªDose;2021-04-20;95
2ªDose;2021-04-22;62
2ªDose;2021-04-23;7
2ªDose;2021-04-27;8
2ªDose;2021-04-28;10
2ªDose;2021-04-29;1
