Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;48
1ªDose;2021-01-21;8
1ªDose;2021-01-22;13
1ªDose;2021-01-23;5
1ªDose;2021-01-24;3
1ªDose;2021-01-25;30
1ªDose;2021-01-26;37
1ªDose;2021-01-27;40
1ªDose;2021-01-28;26
1ªDose;2021-01-29;46
1ªDose;2021-01-30;2
1ªDose;2021-01-31;4
1ªDose;2021-02-01;33
1ªDose;2021-02-02;133
1ªDose;2021-02-03;79
1ªDose;2021-02-04;14
1ªDose;2021-02-05;14
1ªDose;2021-02-08;6
1ªDose;2021-02-09;21
1ªDose;2021-02-10;33
1ªDose;2021-02-11;14
1ªDose;2021-02-12;12
1ªDose;2021-02-13;1
1ªDose;2021-02-15;10
1ªDose;2021-02-16;21
1ªDose;2021-02-17;28
1ªDose;2021-02-18;21
1ªDose;2021-02-19;20
1ªDose;2021-02-22;3
1ªDose;2021-02-23;3
1ªDose;2021-02-24;1
1ªDose;2021-02-26;2
1ªDose;2021-03-01;5
1ªDose;2021-03-02;2
1ªDose;2021-03-03;12
1ªDose;2021-03-04;5
1ªDose;2021-03-05;6
1ªDose;2021-03-08;6
1ªDose;2021-03-09;44
1ªDose;2021-03-10;8
1ªDose;2021-03-11;17
1ªDose;2021-03-12;39
1ªDose;2021-03-15;11
1ªDose;2021-03-16;56
1ªDose;2021-03-17;31
1ªDose;2021-03-18;20
1ªDose;2021-03-19;20
1ªDose;2021-03-20;223
1ªDose;2021-03-21;2
1ªDose;2021-03-22;1
1ªDose;2021-03-23;249
1ªDose;2021-03-24;121
1ªDose;2021-03-25;20
1ªDose;2021-03-26;31
1ªDose;2021-03-29;162
1ªDose;2021-03-30;330
1ªDose;2021-03-31;281
1ªDose;2021-04-01;2
1ªDose;2021-04-05;12
1ªDose;2021-04-06;9
1ªDose;2021-04-07;11
1ªDose;2021-04-09;32
1ªDose;2021-04-10;19
1ªDose;2021-04-12;11
1ªDose;2021-04-15;10
1ªDose;2021-04-19;59
1ªDose;2021-04-20;122
1ªDose;2021-04-22;42
1ªDose;2021-04-26;1
1ªDose;2021-04-27;4
1ªDose;2021-04-28;4
2ªDose;2021-01-25;1
2ªDose;2021-02-01;1
2ªDose;2021-02-09;1
2ªDose;2021-02-10;1
2ªDose;2021-02-11;2
2ªDose;2021-02-12;4
2ªDose;2021-02-15;30
2ªDose;2021-02-16;38
2ªDose;2021-02-17;43
2ªDose;2021-02-18;46
2ªDose;2021-02-19;40
2ªDose;2021-02-20;10
2ªDose;2021-02-22;16
2ªDose;2021-02-23;59
2ªDose;2021-02-24;94
2ªDose;2021-02-25;95
2ªDose;2021-02-26;25
2ªDose;2021-02-28;1
2ªDose;2021-03-01;18
2ªDose;2021-03-02;23
2ªDose;2021-03-03;14
2ªDose;2021-03-04;22
2ªDose;2021-03-05;10
2ªDose;2021-03-08;18
2ªDose;2021-03-09;22
2ªDose;2021-03-10;2
2ªDose;2021-03-11;33
2ªDose;2021-03-12;1
2ªDose;2021-03-15;1
2ªDose;2021-03-16;6
2ªDose;2021-03-20;3
2ªDose;2021-03-23;1
2ªDose;2021-03-30;4
2ªDose;2021-03-31;6
2ªDose;2021-04-01;9
2ªDose;2021-04-05;73
2ªDose;2021-04-06;59
2ªDose;2021-04-07;35
2ªDose;2021-04-08;10
2ªDose;2021-04-09;37
2ªDose;2021-04-10;268
2ªDose;2021-04-12;10
2ªDose;2021-04-14;19
2ªDose;2021-04-16;39
2ªDose;2021-04-19;81
2ªDose;2021-04-20;82
2ªDose;2021-04-21;1
2ªDose;2021-04-22;51
2ªDose;2021-04-23;36
2ªDose;2021-04-26;98
2ªDose;2021-04-27;310
2ªDose;2021-04-28;152
