Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;13
1ªDose;2021-01-20;21
1ªDose;2021-01-21;3
1ªDose;2021-01-22;1
1ªDose;2021-01-25;2
1ªDose;2021-01-26;5
1ªDose;2021-01-27;5
1ªDose;2021-01-28;54
1ªDose;2021-01-29;8
1ªDose;2021-01-30;1
1ªDose;2021-02-01;24
1ªDose;2021-02-02;33
1ªDose;2021-02-04;1
1ªDose;2021-02-05;1
1ªDose;2021-02-08;1
1ªDose;2021-02-09;19
1ªDose;2021-02-10;7
1ªDose;2021-02-11;7
1ªDose;2021-02-12;5
1ªDose;2021-02-17;1
1ªDose;2021-02-18;9
1ªDose;2021-02-22;1
1ªDose;2021-02-23;1
1ªDose;2021-02-25;2
1ªDose;2021-02-27;1
1ªDose;2021-03-01;56
1ªDose;2021-03-02;19
1ªDose;2021-03-03;10
1ªDose;2021-03-04;19
1ªDose;2021-03-05;22
1ªDose;2021-03-08;23
1ªDose;2021-03-09;2
1ªDose;2021-03-11;2
1ªDose;2021-03-15;54
1ªDose;2021-03-16;8
1ªDose;2021-03-17;16
1ªDose;2021-03-18;28
1ªDose;2021-03-19;5
1ªDose;2021-03-22;97
1ªDose;2021-03-23;115
1ªDose;2021-03-24;42
1ªDose;2021-03-25;86
1ªDose;2021-03-26;19
1ªDose;2021-03-27;166
1ªDose;2021-03-29;37
1ªDose;2021-03-30;80
1ªDose;2021-04-05;23
1ªDose;2021-04-06;38
1ªDose;2021-04-07;26
1ªDose;2021-04-08;1
1ªDose;2021-04-09;1
1ªDose;2021-04-12;1
1ªDose;2021-04-13;33
1ªDose;2021-04-14;1
1ªDose;2021-04-15;6
1ªDose;2021-04-16;10
1ªDose;2021-04-19;32
1ªDose;2021-04-20;33
1ªDose;2021-04-22;26
1ªDose;2021-04-23;27
1ªDose;2021-04-26;16
1ªDose;2021-04-27;3
1ªDose;2021-04-28;3
2ªDose;2021-01-18;1
2ªDose;2021-02-02;1
2ªDose;2021-02-09;13
2ªDose;2021-02-10;26
2ªDose;2021-02-11;18
2ªDose;2021-02-12;6
2ªDose;2021-02-17;1
2ªDose;2021-02-18;12
2ªDose;2021-02-19;4
2ªDose;2021-02-22;11
2ªDose;2021-02-25;7
2ªDose;2021-02-26;2
2ªDose;2021-03-02;11
2ªDose;2021-03-03;18
2ªDose;2021-03-05;12
2ªDose;2021-03-07;1
2ªDose;2021-03-08;1
2ªDose;2021-03-11;9
2ªDose;2021-03-15;2
2ªDose;2021-03-23;9
2ªDose;2021-03-24;4
2ªDose;2021-03-27;2
2ªDose;2021-03-29;21
2ªDose;2021-04-04;1
2ªDose;2021-04-05;24
2ªDose;2021-04-06;5
2ªDose;2021-04-07;12
2ªDose;2021-04-08;14
2ªDose;2021-04-09;9
2ªDose;2021-04-12;85
2ªDose;2021-04-13;62
2ªDose;2021-04-14;40
2ªDose;2021-04-15;9
2ªDose;2021-04-16;26
2ªDose;2021-04-17;88
2ªDose;2021-04-19;47
2ªDose;2021-04-20;77
2ªDose;2021-04-22;23
2ªDose;2021-04-23;1
2ªDose;2021-04-26;19
2ªDose;2021-04-27;2
2ªDose;2021-04-28;10
