index;count
2021-05-04;97
2021-05-05;152
2021-05-06;250
2021-05-07;250
2021-05-08;250
2021-05-09;250
2021-05-10;275
2021-05-11;342
2021-05-12;352
2021-05-13;359
2021-05-14;375
2021-05-15;375
2021-05-16;375
2021-05-17;386
2021-05-18;411
2021-05-19;419
2021-05-20;419
2021-05-21;419
2021-05-22;420
2021-05-23;420
2021-05-24;421
2021-05-25;461
2021-05-26;461
2021-05-27;609
2021-05-28;856
2021-05-29;856
2021-05-30;857
2021-05-31;857
2021-06-01;857
2021-06-02;857
2021-06-03;857
2021-06-04;857
2021-06-05;857
2021-06-06;857
2021-06-07;857
2021-06-08;857
2021-06-09;857
2021-06-10;857
2021-06-11;857
2021-06-12;857
2021-06-13;857
2021-06-14;857
2021-06-15;857
2021-06-16;857
2021-06-17;857
2021-06-18;857
2021-06-19;857
2021-06-20;857
2021-06-21;857
2021-06-22;857
2021-06-23;857
2021-06-24;857
2021-06-25;857
2021-06-26;857
2021-06-27;857
2021-06-28;857
2021-06-29;857
2021-06-30;857
2021-07-01;879
2021-07-02;901
2021-07-03;901
2021-07-04;901
2021-07-05;924
2021-07-06;924
2021-07-07;924
2021-07-08;924
2021-07-09;924
2021-07-10;924
2021-07-11;924
2021-07-12;957
2021-07-13;985
2021-07-14;1009
2021-07-15;1009
2021-07-16;1041
2021-07-17;1041
2021-07-18;1041
2021-07-19;1054
