index;count
2021-05-21;3
2021-05-22;160
2021-05-23;160
2021-05-24;210
2021-05-25;238
2021-05-26;277
2021-05-27;290
2021-05-28;299
2021-05-29;299
2021-05-30;299
2021-05-31;301
2021-06-01;329
2021-06-02;330
2021-06-03;330
2021-06-04;330
2021-06-05;330
2021-06-06;330
2021-06-07;330
2021-06-08;330
2021-06-09;330
2021-06-10;330
2021-06-11;330
2021-06-12;330
2021-06-13;330
2021-06-14;330
2021-06-15;330
2021-06-16;330
2021-06-17;330
2021-06-18;330
2021-06-19;331
2021-06-20;331
2021-06-21;331
2021-06-22;333
2021-06-23;384
2021-06-24;384
2021-06-25;384
2021-06-26;384
2021-06-27;384
2021-06-28;434
2021-06-29;434
2021-06-30;434
2021-07-01;462
2021-07-02;472
2021-07-03;472
2021-07-04;472
2021-07-05;477
2021-07-06;623
2021-07-07;696
2021-07-08;719
2021-07-09;724
2021-07-10;724
2021-07-11;724
2021-07-12;730
2021-07-13;754
2021-07-14;754
2021-07-15;819
2021-07-16;841
2021-07-17;841
2021-07-18;841
2021-07-19;928
2021-07-20;1063
2021-07-21;1073
2021-07-22;1080
