index;count
2021-05-25;64
2021-05-26;115
2021-05-27;155
2021-05-28;165
2021-05-29;165
2021-05-30;165
2021-05-31;165
2021-06-01;165
2021-06-02;165
2021-06-03;165
2021-06-04;165
2021-06-05;165
2021-06-06;165
2021-06-07;165
2021-06-08;165
2021-06-09;165
2021-06-10;165
2021-06-11;165
2021-06-12;165
2021-06-13;165
2021-06-14;165
2021-06-15;165
2021-06-16;165
2021-06-17;165
2021-06-18;165
2021-06-19;165
2021-06-20;165
2021-06-21;165
2021-06-22;165
2021-06-23;165
2021-06-24;165
2021-06-25;165
2021-06-26;165
2021-06-27;165
2021-06-28;186
2021-06-29;186
2021-06-30;186
2021-07-01;186
2021-07-02;186
2021-07-03;186
2021-07-04;186
2021-07-05;186
2021-07-06;188
2021-07-07;195
2021-07-08;221
2021-07-09;225
2021-07-10;225
2021-07-11;230
2021-07-12;335
2021-07-13;384
2021-07-14;403
2021-07-15;422
2021-07-16;422
2021-07-17;427
2021-07-18;427
2021-07-19;480
2021-07-20;560
2021-07-21;605
2021-07-22;637
2021-07-23;648
